,REF impact case study identifier,Name of funders,Grant funding,Countries[alpha-3],Countries[union],Countries[region],Funders[full name]
1,1e6e075e-d5f5-421c-bb45-2708636b5190,[EU];[ESRC];[AHRC];[EPSRC];[Nuffield],[FP7-SSH-2011-1-290775: 233600];[ES/L008971/1: 159000];[AH/N008200/1: 83000];[EP/R044937/1: 31078];[FR-000000322: 4949],ITA; SWE; NLD; IRL; GBR; JOR; LBN,,,European Union [EU]; Economic and Social Research Council [GBR]; Arts and Humanities Research Council [GBR]; Engineering and Physical Sciences Research Council [GBR]; Nuffield Foundation
2,73be8e7c-907e-4e5b-8a8b-953b4d394c1b,[Innovate UK];[BBSRC],[103339: 493842];[104587: 407867];[105151: 642465];[107109: 566204];[105134: 273694];[BB/P004911/1: 115582],GBR; NOR; USA,,,Innovate UK [GBR]; Biotechnology and Biological Sciences Research Council [GBR]
3,d59a4fa1-5e19-4394-bf46-451d905f0fa6,[Medical Research Council];[NIHR Central Commissioning Facility];[Wellcome Trust],[HQR00520: 472000];[NIHR: 150000];[16/137/105: 2281965];[MRC: 2533000];[MRC: 1710000];[NIHR: 9200000],GBR; CHN; USA; CAN; BEL; FRA; FIN; AUS; NZL; CHL,,,Medical Research Council [GBR]; National Institute for Health and Care Research [GBR]; Wellcome Trust
4,ee22b99e-4fdb-470e-ab7f-7be0d4043431,[BBSRC];[Economic and Social Research Council];[Department for International Development];[Bill & Melinda Gates Foundation];[Department for Environment Food and Rural Affairs],[BB/L018977/1: 2900000];[SE3133 PO366620: 323595];[TBSE3137 PO# 7070018563: 56671];[5769-UC-BMG-6950: 2051534];[BB/S013806/1: 476000],GBR; ETH,,,"Biotechnology and Biological Sciences Research Council [GBR]; Economic and Social Research Council [GBR]; Department for International Development [GBR]; Bill and Melinda Gates Foundation; Department for Environment, Food and Rural Affairs [GBR]"
5,cdedee72-274f-4f42-8596-ba4c5454cd06,,,,,,
6,ecf2a5ba-383e-48a1-91dc-c11219f5be9a,[British Deer Society ];[Arts and Humanities Research Council];[Leverhulme Trust];[Ungulates Research Group],[SH1838/A11811: 100];[SH1838: 2500];[SH1838: 1500];[AH/H005722/1: 24708];[AH/I026456/1: 644846];[ECF-2015-139: 76319],GBR,,,British Deer Society; Arts and Humanities Research Council [GBR]; Leverhulme Trust; Ungulates Research Group
7,acc14d05-f0e5-49e9-b962-75cb0c786250,[EU],[333083: 1444071];[690323: 8658874];[723425: 4909523],GBR,,europe,European Union [EU]
8,6cfef3d3-5578-48a3-bbae-5b4706fa7df4,[National Institute for Health Research];[Wellcome Trust],[ PB-PG-0808-17218: 249756];[WT100557MA: 264479];[105168/Z/14/Z: 21401],GBR,,,National Institute for Health and Care Research [GBR]; Wellcome Trust
9,6c88b4ac-0cd4-4234-96e0-befc2565917b,,,,,,
10,cfee92aa-3213-4aca-b740-311988235284,[Nominet Trust (now called SocialTechTrust.org)],[CWOF1343832849: 149814],GBR; IND,,,Social Tech Trust
