topic_id,cluster_id,ICS_Name,ICS_Link,ICS_Description
0,9,Advancing regulatory frameworks within Para sport: Ensuring sport is practiced in a manner that respects fair play and protects the health of athletes globally. ,https://results2021.ref.ac.uk/impact/b3205bd3-aa18-42c3-95c1-e55562aea241?page=1,"Members of the PHC at Loughborough University engaged in strategic, high profile capacity building in parasport. This resulted in the establishment of new sports at the Paralympics and Commonwealth Games, including Paracanoe at the 2020 Tokyo Paralympics and Wheelchair Basketball at the 2022 Commonwealth Games. Their research informed the implementation of healthcare and practical advice for organisers, coaches, and athletes. For example, the International Triathlon Union changed their regulations concerning wetsuit use in 2019 to account for added strain when wearing a wetsuit in high water temperatures. "
0,9,Anti-Match Fixing: Improving Global Sports Governance and Bringing Perpetrators to Account. ,https://results2021.ref.ac.uk/impact/13baa0be-f7c0-4808-83ae-f50e0f22e07f?page=1,"Previously, physical evidence was required to prosecute match fixing cases. ICS research helped have this requirement removed, allowing the Court of Arbitration for Sport (CAS) to rule that evidence from betting markets was sufficient to identify match fixing. Following this ruling, FIFA ordered the replay of a match in which the referee was found to be involved in match-fixing. This was the replay that enabled Senegal to qualify for the 2018 World Cup. ICS research has also underpinned the education of athletes and coaches on match-fixing. A follow-up project, ERASMUS+, saw Liverpool partner with EU Athletes to introduce whistle-blowing apps for 3,000 athletes in 7 countries across a range of sports."
0,9,Changing masculinities and enhancing safety in sport. ,https://results2021.ref.ac.uk/impact/a786fe31-5a83-40b3-88d5-281ccc3fbd6f?page=1,"Collaboration to establish LGBT+ Research in Sport Network with Sport England. Textbooks by ICS researchers have been adopted in UK universities. Oxford Brookes, Wolverhampton, Durham, and Southampton Solent now feature teaching on inclusive masculinities on sport-related and gender/sexuality-related courses. Anderson was one of the founders of the Sport Collision Injury Collective (SCIS), a multidisciplinary collective of academics highlighting injuries sustained in youth sport participation. The group published an open letter ‘Preventing injuries in children playing school rugby’ which petitioned to make contact sports non-compulsory. The SCIS website has received 900,000,000 hits, and the letter itself was printed in major print and online newspapers (e.g., The Guardian, The Telegraph, The Independent). New regulations regarding tackling in children’s rugby and banning heading in football for children under 12 have resulted. "
0,9,Defining the autonomy and specificity of sport in EU law: Shaping the adoption of globally applicable football agent regulations and the EU’s approach to nationality-based eligibility rules in European sport. ,https://results2021.ref.ac.uk/impact/6a3ffad1-51c7-4c8e-a981-6ce4789bb390?page=1,"Most impact resulted from informing various EU commissions on regulating sports discrimination. Parrish’s work on nationality discrimination in sport has helped alter the EU’s approach to this issue whilst setting the boundaries for sports bodies on questions of nationality-based eligibility rules. Related commissions created change of nationality-based eligibility regulations of 26 Olympic sports across all 27 Member States of the EU, identifying that the widespread sporting practice of denying access to sporting competitions on account of nationality was in conflict with EU law regarding non-discrimination of nationality in economic matters. Judgements informed by this research protect athletes from discriminatory nationality measures adopted by both states and private bodies, such as sporting entities, under EU citizenship rights regardless of the level of economic activity (e.g., if the athlete is an amateur). Research underpinned an enquiry into nationality in European team sport launched by the European Commission in 2012, which challenged the legality of UEFA’s home-grown player rule (introduced in 2006/7). This challenge argued that the rule created indirect discrimination on the grounds of nationality."
0,9,Enhancing practice and improving outcomes of career transition support services in elite sport,https://results2021.ref.ac.uk/impact/da901cc2-6b92-4285-b7e5-872bee3c3678?page=1,"Introduction of mental health and practice support for professional athletes transitioning into non-sporting roles at the end of their competitive careers. This work has increased issue awareness in professional organisations and led to constructive outcomes. The England Rugby Players Association has introduced 8 development managers and 1 transition manager to support over 800 current and 400 former players across premiership clubs. These reforms became particularly significant during the Covid-19 pandemic, when team sports were heavily impacted and early career transition became necessary. This research prompted campaigns by the English Institute of Sport (#More2Me) and the International Federation of Professional Footballers Associations (FIFPro) to use the finding to encourage athletes to recognise the benefits of planning for life after sport. #More2Me was publicly backed by both the Minister for Sport and the Chair of UK Sport. Third sector organisations, such as the UK-based charity Switch the Play Foundation, have improved sport career transition outcomes based on this research."
0,9,"Football4Peace (F4P): Building bridges in divided, unequal and unjust societies",https://results2021.ref.ac.uk/impact/da901cc2-6b92-4285-b7e5-872bee3c3678?page=1,"University of Brighton research led to the creation of Football4Peace (F4P) which uses values-based coaching methodology and delivery to promote peace-building in divided and post-conflict societies. Early work in Northern Ireland, Israel and South Africa has been extended in The Gambia, Colombia and South Korea. Related NGOs have been formed to support and further this programme and its methodologies, including the formation of UNESCO clubs based on the Brighton F4P initiatives. The model has been applied to several other sports, and since 2014 has benefitted 532 coaches/volunteers, 4,699 young people, residents and pupils in 87 local communities in 7 major cities. F4P training in Columbia in partnership with Fundación Buen Punto enabled FBP to obtain international recognition through an award given by Peace and Sport in Rhodes, 2018. "
0,9,POWeR – cost effective online support for weight management,https://results2021.ref.ac.uk/impact/08743a0a-b72f-4163-87bb-5abaae501812?page=2,"POWeR (Positive Online Weight Reduction) helps users sustain weight loss. POWeR has been made directly available to over 2,000,000 people through partnerships with Local Health Authorities and the NHS. POWer has developed a partnership with ‘Changing Health’ for further national and international dissemination. The POWeR app has been delivered to 4,000 patients as part of the NHS Diabetes Prevention Programme and will be rolled out to a further 12,000 patients from 2020-2050. The POWeR web application has been delivered to 4,000 patients as part of the National Diabetes Education Programme and will reach a further 600,000 diabetic patients from 2020-2050."
0,9,Safeguarding Children in Sport,https://results2021.ref.ac.uk/impact/3a4e0459-e480-42ac-b825-a1c27d8f724b?page=1,"Informing safeguarding guidelines through identifying and disseminating good practice with 32 organisations across Africa, Asia, Europe and North and South America. Development of an evidence-based, flexible framework within the International Safeguards that allows people to tailor implementation to the specific cultural characteristics of their settings. Implementation guides have been produced for 126 organisations working directly and indirectly with children. These resources have affected work with around 10,000,000 children. The Commonwealth Advisory Body on Sport has recommended the adoption of the Safeguards to Sports Ministers of the 53 Commonwealth nations. In 2018, 125 organisations working with over 35,000,000 children worldwide had signed up to work towards the Safeguards. "
1,6,Achieving justice and improving support and protection for victims-survivors of gender-based violence,https://results2021.ref.ac.uk/impact/542e76f9-6242-4b3e-ac9c-0335cf65c01f?page=1,This research into how criminal justice practitioners and service providers in the UK can support victims-survivors of gender-based violence (GBV) leveraged over £7.2 million in funding to expand a GBV-prevention programme in the UK. This program is shown to reduce abuse by high-risk perpetrators by up to 88% and underpinned new UK family court guidance to protect children from domestic abuse.
1,6,Advances in the Neuroscience of Trauma & Crime: Transforming justice globally for vulnerable people in custody,https://results2021.ref.ac.uk/impact/a623f49a-a090-4916-a6c6-864f2303fac6?page=1,"Research uncovered that 42,000 people currently in UK prisons have some form of Traumatic Brain Injury (TBI), which is associated with impulsivity and problems in social reasoning. This finding changed judicial and health policies in the UK and (those endorsed by the UN) UN to take account of TBI and Neurodisability. It also led to changes in practice across the prison system impacting 83,000 existing prisoners and 60,00 new entrants each year, including mandatory neurodisability screening and enhanced support and staff training "
