case_id,BERT_topic_1. Summary of the impact,BERT_proba_1. Summary of the impact,BERT_topic_2. Underpinning research,BERT_proba_2. Underpinning research,BERT_topic_4. Details of the impact,BERT_proba_4. Details of the impact,BERT_topic_full,BERT_proba_full
1e6e075e-d5f5-421c-bb45-2708636b5190,15,0.2142467404377974,12,0.4629292634929648,27,0.07462959309848749,18,1.0
d59a4fa1-5e19-4394-bf46-451d905f0fa6,8,1.0,7,1.0,9,1.0,10,0.7261765686837186
cdedee72-274f-4f42-8596-ba4c5454cd06,-1,0.03550562744535305,27,0.093670111585923,5,1.0,-1,0.052405543302967116
ecf2a5ba-383e-48a1-91dc-c11219f5be9a,2,0.37302704111547963,8,0.037903622690543315,36,0.322387498949712,13,0.1629348532186606
e2b00394-d011-40f7-b4b2-3356794d9cc5,0,0.24378671805737384,2,0.1655713786674798,-1,0.09375184286554569,5,0.08811010528969272
960e8f89-2153-4f5f-b2cb-b82bb13733c6,-1,0.030000002715125755,43,0.6342111817630178,-1,0.009225495730633736,33,0.5379676103698765
c4f2289e-9fd4-471b-bcdf-8b2ce16a99d0,-1,0.022525614494088575,59,1.0,4,0.03766801216089155,-1,0.09139271419627536
3fc46187-d61b-4415-aed8-57e1d0a8eba0,0,0.21566031624503032,2,0.5731030912250181,3,0.10410483055122544,5,1.0
66e938df-d188-4182-9990-2dec54af6a00,40,0.12029176137667345,-1,0.06307748505150877,52,0.1296931166846643,31,0.04264533310423659
2aefe25b-98c5-4366-bee5-64d9f559eac5,13,0.41333854460647157,6,0.11505301381882385,8,1.0,6,0.24781755261690877
c90a1c87-9575-45fd-a37a-e736c3b739d7,17,1.0,26,0.66550105439797,5,0.5442213413683058,26,1.0
c28c36bd-ad72-4aa3-865f-17432ddae321,42,0.00812254715420493,-1,0.021993025681717713,-1,0.06756681761766353,1,0.15238082663271213
3f91fcbb-1fb1-454d-9ee3-b87de7881607,-1,0.07184508636499574,-1,0.00973499325634265,115,1.0,9,0.018822704291296184
adc80482-fc3c-4952-a37c-f5e9f43d7728,1,0.47500789843465335,3,0.42193305153926497,2,0.1582198212212153,3,0.3505673505422021
f4dc7ac5-25f3-4c05-9dcc-5ef75994ced2,3,0.3218320002734466,1,0.5691782409822375,-1,0.024342475206956933,1,1.0
f84c8965-1e54-40fd-9b3c-7e68a9aebaec,-1,0.02637724878822831,-1,0.017108060149240475,-1,0.008677305776165012,-1,0.040317268224429596
84a4ad06-92ef-4178-8b53-fd9d3ada750a,9,0.16319193800819726,0,0.5530770717057358,0,0.2807736848983696,4,0.5807264558546354
3c54584b-5c70-4b2d-a90a-4cd28bac0e4d,-1,0.01418019840178133,1,0.03748430535084489,4,0.03150212788813328,-1,0.036933948070499364
d292cf2d-0773-4452-8515-5b0e0752bdb4,-1,0.019728163541393975,28,0.058620649750206984,18,0.6085065692907834,-1,0.04862921818746561
13822b1e-9ea7-426c-8d72-a8f061d7924a,-1,0.02698776253527769,69,0.3285426287506879,71,0.20287649377480294,39,0.0801263136531413
9d4284f3-e9e8-4d8b-9f62-df68c52fdb35,-1,0.019687789028764953,-1,0.02415385807550109,0,0.14480366260212235,-1,0.09864261924117247
a55bb562-0696-4665-8480-0ebd649f926d,-1,0.061043635870270854,-1,0.03798323809022047,22,1.0,-1,0.07653147936287077
54b2816b-2569-40de-890b-d097f6f038c6,3,0.028803694990248405,1,0.07961780848782665,99,1.0,1,0.2619752799121865
c2ac4193-ff3d-4bde-9641-12309a896394,109,1.0,24,0.36198656922402606,18,1.0,30,0.06297717317623869
de7b5750-1615-4cd7-bd7a-6fbc7b22d3c2,17,0.05663407728702467,-1,0.0061486971418013014,38,1.0,-1,0.01395173845313152
640a0ff5-afa1-4a31-9441-b4a37e32cfac,0,0.3652568575783428,2,0.25243216198500135,3,0.29597876519525773,5,0.217546718006933
db8090f9-2c4a-45bd-a67c-977353397ed3,0,0.16880085573947637,10,0.09598795348457424,3,0.07801386155991862,-1,0.06671362622311171
feb74fb5-855a-4273-b8ad-5dc79be8b098,12,0.013770651292828999,26,0.27126978788916967,-1,0.012213089055137563,-1,0.042269515660693896
8f7825bc-50e4-4313-8ad1-1837d483f903,14,0.20376118845961178,17,1.0,41,0.2563201700674175,14,0.5784427687749847
34e7e0ef-e939-490f-af01-c05891314892,-1,0.024396000806270246,4,0.07242274130596464,-1,0.020112472561642353,-1,0.04356723277191531
dfe521c4-5b2b-4e6c-bd3c-7b1d69d60310,0,0.11803028696374561,2,0.044823168907631536,-1,0.007280260122881424,113,1.0
8ec473a5-bbeb-47e1-b782-10ad4a5acbd5,24,0.11338146756917229,-1,0.09521966843141226,37,0.12697328962781257,89,0.5021244123499036
ee235d5c-5bf4-40a5-94da-9591ce9e1d6a,4,0.09771650654130329,5,0.6773534162198269,-1,0.0019044964085618225,8,0.4541325434657267
d25d0e7c-de58-480b-88dc-80c67992943f,15,1.0,12,0.16402783596499168,27,0.03736915260891519,18,0.03490224173540221
b21e6a78-02d9-4230-93f9-a036b4290e22,45,1.0,45,0.4938973206353939,32,1.0,36,0.6472939870521552
c39a7c40-ba6b-41bb-85fb-791112ae7f29,-1,0.038767279643287085,-1,0.05567693697270648,-1,0.056256930909050484,43,0.032235148084861436
0a7fdd93-7aa7-422c-a2f8-47091a08127b,-1,0.013075194531103538,33,0.06867947849780498,-1,0.020179303439711003,82,1.0
3d0a8fd5-8702-45b8-b002-1f4fd4042f38,75,1.0,-1,0.01937626836650436,-1,0.04990691472375304,-1,0.010509641022209812
9ff8da52-9796-4600-8bfc-b1f2f22b00b6,69,0.1642257412028103,8,0.08301237217286014,-1,0.007883207279407584,30,0.6356195987916238
38cdf896-7e30-480c-a8ea-8ade1f3113e4,14,0.1437644295868036,17,0.030402146402584262,41,0.017636123842613233,14,0.07164648196479982
716cf3c5-cd91-4707-add0-8ffcb2bf77e2,-1,0.0071850869116030945,0,0.10956135685284911,-1,0.04023361138306409,72,0.1884871946801982
95c1638e-3cc5-4efb-9e3c-f1c64862c2e7,-1,0.028167186033485375,0,0.02523458611507967,0,0.11281879873324918,-1,0.032303273870166294
