case_id,BERT_topic_1. Summary of the impact,BERT_proba_1. Summary of the impact,BERT_topic_2. Underpinning research,BERT_proba_2. Underpinning research,BERT_topic_4. Details of the impact,BERT_proba_4. Details of the impact,BERT_topic_full,BERT_proba_full
1e6e075e-d5f5-421c-bb45-2708636b5190,15,0.12211776529000501,19,0.6135281008732381,23,0.04060412669221597,12,0.1322316626244289
d59a4fa1-5e19-4394-bf46-451d905f0fa6,23,1.0,30,1.0,41,1.0,33,1.0
cdedee72-274f-4f42-8596-ba4c5454cd06,3,0.44191004795072414,4,0.3930160699476055,2,0.9523878657703858,2,0.36306382967924355
ecf2a5ba-383e-48a1-91dc-c11219f5be9a,27,0.18812246289232631,1,0.5998017521701957,32,0.4865635271256472,13,1.0
e2b00394-d011-40f7-b4b2-3356794d9cc5,1,0.5226744061837002,5,0.18646587382326354,4,0.12800968952390424,9,0.14289886384431183
960e8f89-2153-4f5f-b2cb-b82bb13733c6,1,0.5074126384005769,42,1.0,4,0.0803249571632011,41,1.0
c4f2289e-9fd4-471b-bcdf-8b2ce16a99d0,60,1.0,-1,0.21061868102256337,-1,0.0502372913768199,-1,0.03717676430193087
3fc46187-d61b-4415-aed8-57e1d0a8eba0,1,0.5982780554161432,5,0.23607260717985684,4,0.22183171354236955,9,1.0
66e938df-d188-4182-9990-2dec54af6a00,-1,0.016250018088727725,-1,0.004073157197638288,-1,0.03811355393813811,14,0.06769042570091899
2aefe25b-98c5-4366-bee5-64d9f559eac5,0,1.0,0,0.90283738166388,0,0.8680763285067161,0,0.7920194201572776
c90a1c87-9575-45fd-a37a-e736c3b739d7,59,1.0,86,1.0,59,1.0,72,1.0
c28c36bd-ad72-4aa3-865f-17432ddae321,0,0.5193635207428101,0,0.35192432217974917,0,0.5027097895316766,0,0.29404781516282097
3f91fcbb-1fb1-454d-9ee3-b87de7881607,-1,0.09788500403290788,-1,0.14867124325886366,-1,0.12587560722002072,3,0.5173446794650419
adc80482-fc3c-4952-a37c-f5e9f43d7728,5,0.15599487302783802,6,0.16145987714955926,3,0.18227431531226462,8,0.17186360193308414
f4dc7ac5-25f3-4c05-9dcc-5ef75994ced2,1,0.8190958215423437,9,1.0,5,0.09375370823304603,4,0.7760309019003643
f84c8965-1e54-40fd-9b3c-7e68a9aebaec,-1,0.02899427051933488,12,0.04430471857353722,-1,0.021847074239865445,-1,0.025318051336650875
84a4ad06-92ef-4178-8b53-fd9d3ada750a,2,0.52595363461266,3,0.48794345618603274,1,0.4895600141730539,1,0.4126964418399883
3c54584b-5c70-4b2d-a90a-4cd28bac0e4d,-1,0.013687197306332962,52,0.29075890717684855,8,0.044350831012590256,-1,0.007277881193088204
d292cf2d-0773-4452-8515-5b0e0752bdb4,1,0.650741969283327,40,0.15099969832339083,39,0.11067433229613784,-1,0.20406168988899098
13822b1e-9ea7-426c-8d72-a8f061d7924a,-1,0.043278320734587074,-1,0.04405756136869604,63,1.0,10,0.07360668182214301
9d4284f3-e9e8-4d8b-9f62-df68c52fdb35,15,0.09140841634584465,19,0.3922993491777177,1,0.2593582756448033,12,0.4763924174079202
a55bb562-0696-4665-8480-0ebd649f926d,64,0.280051403836286,-1,0.038640080746673154,45,1.0,35,0.25726529703959644
54b2816b-2569-40de-890b-d097f6f038c6,53,0.43112944887984,-1,0.07394016066661088,-1,0.0664318168204289,-1,0.011221601679845997
c2ac4193-ff3d-4bde-9641-12309a896394,52,0.6095269953893436,18,0.7837187578870067,34,0.2492173509355783,22,0.7694100621590384
de7b5750-1615-4cd7-bd7a-6fbc7b22d3c2,59,0.17405068742686017,-1,0.011320731282331352,47,1.0,3,0.13347183007553537
640a0ff5-afa1-4a31-9441-b4a37e32cfac,28,0.07359388644155922,-1,0.05441339680683276,-1,0.11751255976195532,-1,0.005636774983141453
db8090f9-2c4a-45bd-a67c-977353397ed3,1,0.8198589667938954,-1,0.13035357179529733,-1,0.06256250062013978,-1,0.1326883128164542
feb74fb5-855a-4273-b8ad-5dc79be8b098,1,0.6084935807278509,-1,0.012210666251254493,-1,0.06064301147465624,-1,0.0025492398706680637
