case_id,BERT_topic_1. Summary of the impact,BERT_proba_1. Summary of the impact,BERT_topic_2. Underpinning research,BERT_proba_2. Underpinning research,BERT_topic_4. Details of the impact,BERT_proba_4. Details of the impact,BERT_topic_full,BERT_proba_full
1e6e075e-d5f5-421c-bb45-2708636b5190,10,0.2989378629555665,14,1.0,19,0.11311453313872495,14,0.7330385049547261
cdedee72-274f-4f42-8596-ba4c5454cd06,-1,0.051190985082635185,-1,0.014250238486858606,11,0.5130458218760119,-1,0.022471369615824386
c4f2289e-9fd4-471b-bcdf-8b2ce16a99d0,25,1.0,1,0.279787084269447,38,1.0,23,0.3220212588283522
66e938df-d188-4182-9990-2dec54af6a00,-1,0.030033451605319453,33,1.0,-1,0.06525561294366139,-1,0.02945737076696793
2aefe25b-98c5-4366-bee5-64d9f559eac5,8,0.20588182322289286,9,1.0,10,0.20562489160619174,8,0.4078592280799085
c90a1c87-9575-45fd-a37a-e736c3b739d7,4,0.4586966434251189,15,0.16328188991974998,11,0.3535596119599784,5,0.4473711664976327
c28c36bd-ad72-4aa3-865f-17432ddae321,-1,0.01622970108428427,9,0.13019505310868346,10,0.06458905386640543,8,0.09940666225213171
adc80482-fc3c-4952-a37c-f5e9f43d7728,2,0.24581947779741098,1,0.8497004812336826,2,0.41592225625821505,0,0.3540507541794132
84a4ad06-92ef-4178-8b53-fd9d3ada750a,0,0.517935644209733,0,0.6327321159366286,0,1.0,9,0.8478523391917705
c2ac4193-ff3d-4bde-9641-12309a896394,32,1.0,3,0.05023744753887575,33,1.0,37,1.0
de7b5750-1615-4cd7-bd7a-6fbc7b22d3c2,4,0.3406615112721401,-1,0.01760707236898627,30,1.0,-1,0.06047301383036571
8ec473a5-bbeb-47e1-b782-10ad4a5acbd5,-1,0.14461846478201765,7,0.2451452843385182,18,1.0,-1,0.04824973116137382
ee235d5c-5bf4-40a5-94da-9591ce9e1d6a,1,0.35831355366935047,6,0.4883926784750491,-1,0.012703963963722033,3,0.12059089923640028
d25d0e7c-de58-480b-88dc-80c67992943f,10,0.4493816974191446,14,1.0,19,0.07010387542328103,14,0.3304100803367089
3d0a8fd5-8702-45b8-b002-1f4fd4042f38,20,1.0,13,0.06503030543778714,5,0.025222770674247563,-1,0.027311335214707636
9ff8da52-9796-4600-8bfc-b1f2f22b00b6,5,0.028815174293830688,10,0.46017267330571276,6,0.14729572109937505,37,1.0
716cf3c5-cd91-4707-add0-8ffcb2bf77e2,19,0.18689882799129773,0,0.2957542673840392,0,0.07014584775894195,21,0.473042960964925
11ed772d-1c8e-444f-8d78-ef3c8a3f8374,-1,0.16834353243324443,23,1.0,26,1.0,18,0.34763871009443553
e684b230-f53d-4bfd-be15-319ba3dfd9b3,-1,0.10128844919635925,-1,0.015687076557481434,-1,0.08245904805068291,4,0.238056543062935
0b44de58-6b72-46db-b8f7-a7deedb64dde,-1,0.041896625385998386,17,0.4370136170563441,29,0.20931860857693935,24,1.0
5c6ed1f9-399e-4a8e-817e-f54ddca594db,12,1.0,-1,0.05897413996889804,16,1.0,18,0.20772960565862555
a1483589-8654-4882-9c20-fd7ea428b399,-1,0.023437181161046827,26,0.2662911597127387,16,0.20665264516134027,7,0.038581810796363594
50651d08-7946-4aac-b25e-523707b728d6,-1,0.033045651334292284,23,1.0,-1,0.028141941142250698,-1,0.14528988358569087
2c7280d1-899c-449b-9667-07c9f58d512a,-1,0.14867937746020213,27,1.0,-1,0.03284565475795875,34,1.0
e5fe80d2-1622-4109-8816-cd4ea9c8996e,11,0.05624784103771814,-1,0.08653879388405097,40,1.0,-1,0.04490848892743757
45f72870-cc98-4631-876e-56688e26c7b2,1,0.03567956994709587,-1,0.06876814860720945,-1,0.0070066764812269115,7,0.04098233890371527
387247a9-632a-4eb5-8f10-0d70f5761d2f,-1,0.060834188288846056,20,0.12022871247585118,5,0.028225390861466654,-1,0.25043488245984274
