case_id,BERT_topic_1. Summary of the impact,BERT_proba_1. Summary of the impact,BERT_topic_2. Underpinning research,BERT_proba_2. Underpinning research,BERT_topic_4. Details of the impact,BERT_proba_4. Details of the impact,BERT_topic_full,BERT_proba_full
1e6e075e-d5f5-421c-bb45-2708636b5190,15,1.0,15,0.7897122451770948,18,0.2909048197583417,14,0.7001708668789648
cdedee72-274f-4f42-8596-ba4c5454cd06,2,0.8352858165638073,3,0.669646510190725,3,0.8251680079399983,2,0.8915370542871568
c4f2289e-9fd4-471b-bcdf-8b2ce16a99d0,-1,0.034415119795774336,27,0.7532003891582605,0,0.1488881194585977,28,1.0
66e938df-d188-4182-9990-2dec54af6a00,-1,0.0740459582782055,-1,0.09230017812028983,16,0.08933658751450685,-1,0.11981380343094465
2aefe25b-98c5-4366-bee5-64d9f559eac5,7,1.0,9,1.0,7,1.0,6,0.30947935264509746
c90a1c87-9575-45fd-a37a-e736c3b739d7,33,1.0,23,1.0,31,1.0,34,1.0
c28c36bd-ad72-4aa3-865f-17432ddae321,7,0.7949566503018001,9,1.0,7,0.7019717145572382,6,1.0
adc80482-fc3c-4952-a37c-f5e9f43d7728,3,0.14038084615382146,5,0.6834024245310041,4,0.49852150477631796,3,0.5504245955742932
84a4ad06-92ef-4178-8b53-fd9d3ada750a,4,0.3272599467692144,0,0.5853987495884466,2,0.7185024641923985,13,1.0
c2ac4193-ff3d-4bde-9641-12309a896394,10,1.0,10,0.5755589030897083,6,0.6583662408312722,12,0.5880305134852384
de7b5750-1615-4cd7-bd7a-6fbc7b22d3c2,33,0.2841292102201618,-1,0.04452537067417305,0,1.0,-1,0.05728424442945487
8ec473a5-bbeb-47e1-b782-10ad4a5acbd5,24,0.04884698330970357,6,0.3020434751228985,22,1.0,24,0.018050375590682687
ee235d5c-5bf4-40a5-94da-9591ce9e1d6a,1,0.41643567748362387,8,0.6063488797072615,9,0.14451927100921227,7,0.37254882131893746
d25d0e7c-de58-480b-88dc-80c67992943f,15,0.5503927918463537,15,0.760144496421451,18,0.4389657647097463,14,0.22577330347238586
