topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('healthcare', 0.41735178)","('health', 0.40472123)","('clinical', 0.36994684)","('innovation', 0.36000448)","('educational', 0.35963535)","('service', 0.3425069)","('medical', 0.34200782)","('business', 0.31954813)","('digital', 0.31666175)","('environment', 0.30066302)"
0,"('curatorial', 0.6057773)","('exhibition', 0.59308374)","('museum', 0.5601902)","('curator', 0.55880713)","('exhibit', 0.55563045)","('artwork', 0.53241557)","('art', 0.49823293)","('artistic', 0.48028883)","('artefact', 0.46222702)","('gallery', 0.44115406)"
1,"('athletic', 0.61677915)","('athlete', 0.6078572)","('sport', 0.5825078)","('athletics', 0.5710906)","('paralympic', 0.5291654)","('paralympics', 0.5126076)","('olympic', 0.48221993)","('rugby', 0.47389284)","('compete', 0.46721455)","('physical', 0.40705913)"
2,"('biodiversity', 0.6363796)","('ecology', 0.5612662)","('ecological', 0.5487261)","('wildlife', 0.53548837)","('ecosystem', 0.5351894)","('iucn', 0.5115193)","('conservation', 0.50080687)","('rainforest', 0.49565122)","('forestry', 0.4948863)","('habitat', 0.47893256)"
3,"('music', 0.6104745)","('musical', 0.5571494)","('musician', 0.517611)","('orchestra', 0.49800384)","('conservatoire', 0.48786166)","('composer', 0.45896882)","('choir', 0.44827712)","('concert', 0.44393063)","('performer', 0.43687487)","('composition', 0.42958325)"
4,"('enterprise', 0.616869)","('entrepreneurship', 0.53095067)","('entrepreneur', 0.5070888)","('entrepreneurial', 0.49526834)","('business', 0.45493966)","('innovation', 0.43198323)","('venture', 0.42877614)","('corporate', 0.41791624)","('organisational', 0.4168133)","('smes', 0.4115581)"
5,"('nursing', 0.4351521)","('hospital', 0.43502256)","('healthcare', 0.43417564)","('ambulance', 0.42822614)","('paramedic', 0.4275831)","('nurse', 0.407671)","('trainee', 0.37795386)","('medical', 0.37613642)","('clinical', 0.35560402)","('medic', 0.34789017)"
6,"('violence', 0.44539228)","('assault', 0.43448624)","('abuse', 0.41426808)","('offender', 0.39184877)","('police', 0.38255334)","('legislation', 0.3684471)","('safeguard', 0.35905603)","('rape', 0.3568044)","('domestic', 0.3566705)","('victim', 0.35530853)"
7,"('archaeology', 0.61385727)","('archaeological', 0.6016355)","('museum', 0.47441408)","('excavation', 0.43258858)","('exhibition', 0.413216)","('prehistoric', 0.4003118)","('tourism', 0.3998937)","('orkney', 0.39405137)","('unesco', 0.37097305)","('tourist', 0.36822402)"
8,"('psychiatry', 0.49301177)","('psychiatric', 0.46852285)","('psychotherapy', 0.45379138)","('therapy', 0.4519459)","('depression', 0.44767946)","('therapist', 0.44170266)","('psychiatrist', 0.4415891)","('antidepressant', 0.39868963)","('clinical', 0.37263834)","('psychotherapist', 0.37192464)"
9,"('educator', 0.5768069)","('teacher', 0.56132555)","('teach', 0.5358732)","('curriculum', 0.51233625)","('pedagogical', 0.5011295)","('classroom', 0.4882406)","('pedagogy', 0.4519565)","('educational', 0.4339049)","('learner', 0.4047882)","('pedagogic', 0.3899261)"
10,"('climate', 0.56863165)","('greenhouse', 0.41473177)","('environmental', 0.39648086)","('methane', 0.33772755)","('policymakers', 0.32822508)","('emission', 0.32588398)","('carbon', 0.3174529)","('atmospheric', 0.3172296)","('intergovernmental', 0.31681514)","('agreement', 0.31078207)"
11,"('vaccine', 0.57984746)","('vaccination', 0.5662026)","('vaccinate', 0.4822571)","('immunisation', 0.45278707)","('influenza', 0.4213031)","('outbreak', 0.39007866)","('infectious', 0.37272286)","('pandemic', 0.3672774)","('epidemic', 0.36521965)","('ebola', 0.36408198)"
12,"('centenary', 0.5531398)","('remembrance', 0.5490146)","('commemoration', 0.5406138)","('wartime', 0.48895043)","('memorialisation', 0.48742548)","('wwii', 0.47637042)","('wwi', 0.473401)","('commemorative', 0.46093714)","('commemorate', 0.41019845)","('memorial', 0.3925328)"
13,"('renewables', 0.53716725)","('renewable', 0.5224292)","('electricity', 0.4780228)","('infrastructure', 0.44820285)","('electrical', 0.43868423)","('energy', 0.42675763)","('utility', 0.40311545)","('electric', 0.40295684)","('turbine', 0.39008844)","('engineering', 0.35421497)"
14,"('literature', 0.59179926)","('poet', 0.54013515)","('writer', 0.53795344)","('literary', 0.53375417)","('poetry', 0.52483904)","('novelist', 0.5189665)","('readership', 0.4737743)","('poem', 0.41055644)","('publisher', 0.4074307)","('author', 0.38489595)"
15,"('migrant', 0.6420618)","('refugee', 0.618025)","('migration', 0.5675825)","('immigration', 0.56196535)","('diaspora', 0.53036034)","('immigrant', 0.5140048)","('asylum', 0.4213256)","('diverse', 0.36260813)","('visa', 0.33930188)","('traveller', 0.33792347)"
