topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('health', 0.31811133)","('healthcare', 0.30820465)","('clinical', 0.23657206)","('software', 0.19263107)","('methodology', 0.17899969)","('framework', 0.17110464)","('disease', 0.16334854)","('service', 0.16283076)","('cell', 0.15957685)","('care', 0.15351935)"
0,"('carbon', 0.35507378)","('emission', 0.34614688)","('atmospheric', 0.33396158)","('climate', 0.33002415)","('atmosphere', 0.32023433)","('pollution', 0.3098228)","('greenhouse', 0.2880427)","('environmental', 0.2664316)","('ozone', 0.24478161)","('aerosol', 0.23846227)"
1,"('cardiovascular', 0.42787653)","('cardiology', 0.4028921)","('cardiac', 0.40222842)","('myocardial', 0.31173557)","('ventricular', 0.29354444)","('coronary', 0.28425843)","('hypertension', 0.27752683)","('heart', 0.2506148)","('clinical', 0.22590859)","('infarction', 0.22254917)"
2,"('pollination', 0.42035693)","('agriculture', 0.40690327)","('insecticide', 0.38924557)","('pesticide', 0.38485897)","('agricultural', 0.37910658)","('honeybee', 0.36325133)","('bee', 0.34679425)","('ecological', 0.33503482)","('crop', 0.33026716)","('pest', 0.3003451)"
3,"('oncology', 0.4139971)","('chemotherapy', 0.35420793)","('cancer', 0.3486182)","('radiotherapy', 0.3170308)","('tumour', 0.28506655)","('clinical', 0.21209392)","('breast', 0.20767483)","('lymphoma', 0.20135087)","('mortality', 0.1818272)","('tamoxifen', 0.18116614)"
4,"('telecommunication', 0.47855002)","('infrastructure', 0.40987805)","('bandwidth', 0.39650247)","('network', 0.39107203)","('sdn', 0.36306655)","('connectivity', 0.35902715)","('protocol', 0.3581692)","('tcp', 0.3514451)","('iot', 0.3464157)","('packet', 0.31614053)"
5,"('maternity', 0.4720387)","('fetal', 0.4478538)","('childbirth', 0.44472486)","('obstetric', 0.43237573)","('midwifery', 0.41861936)","('neonatal', 0.40270683)","('maternal', 0.4000839)","('prenatal', 0.37467343)","('midwife', 0.37373903)","('pregnancy', 0.3712863)"
6,"('optimisation', 0.4185556)","('optimization', 0.32648158)","('algorithm', 0.275512)","('agile', 0.2583993)","('classification', 0.25568628)","('methodology', 0.2546047)","('planning', 0.2510943)","('software', 0.24693644)","('engineering', 0.24030216)","('operation', 0.2191782)"
7,"('fishery', 0.5878392)","('fishing', 0.48937494)","('fish', 0.41314733)","('aquaculture', 0.40716082)","('reef', 0.40500376)","('ecological', 0.39205462)","('ecology', 0.39167938)","('ecosystem', 0.37227702)","('marine', 0.36968082)","('sea', 0.36090916)"
8,"('aerodynamics', 0.4077189)","('aerodynamic', 0.34855333)","('powertrain', 0.34295967)","('turbine', 0.32695228)","('engine', 0.30902988)","('compressor', 0.29734668)","('optimisation', 0.25820243)","('rotor', 0.2500612)","('flow', 0.24018142)","('computational', 0.22747974)"
9,"('biodiversity', 0.5267762)","('wildlife', 0.48500788)","('ecological', 0.46818358)","('ecology', 0.46660772)","('conservation', 0.42316326)","('iucn', 0.41842294)","('habitat', 0.39852548)","('ecosystem', 0.39301082)","('extinction', 0.3910332)","('diversity', 0.31022936)"
10,"('renewables', 0.38039306)","('renewable', 0.35201603)","('generator', 0.31891122)","('electricity', 0.29294217)","('grid', 0.2850746)","('electrical', 0.28399247)","('substation', 0.27723813)","('optimisation', 0.26926178)","('demand', 0.24921402)","('energy', 0.21603775)"
11,"('mri', 0.33941972)","('medical', 0.33827895)","('radiology', 0.3088448)","('tomography', 0.29492468)","('segmentation', 0.2904454)","('clinical', 0.2850564)","('radiologist', 0.2824991)","('processing', 0.27909747)","('software', 0.27685374)","('hospital', 0.26407486)"
12,"('dietary', 0.49869853)","('nutrition', 0.4905156)","('diet', 0.45355535)","('nutritional', 0.4134286)","('obesity', 0.39420283)","('meal', 0.38602614)","('consume', 0.36323303)","('obese', 0.3567413)","('eat', 0.34771585)","('healthy', 0.3368931)"
13,"('ophthalmology', 0.4868483)","('retinal', 0.47436988)","('blindness', 0.45333335)","('cataract', 0.41619486)","('retina', 0.41001868)","('ophthalmic', 0.40874082)","('ocular', 0.39156634)","('optometrist', 0.38750762)","('corneal', 0.37758356)","('impairment', 0.36718547)"
14,"('pharmaceutical', 0.41635907)","('ligand', 0.39581797)","('molecular', 0.38303974)","('molecule', 0.375027)","('drug', 0.30488348)","('formulation', 0.28244498)","('synthesis', 0.2782529)","('medicinal', 0.25626642)","('discovery', 0.2547018)","('compound', 0.2531711)"
15,"('pathogen', 0.472048)","('outbreak', 0.42705598)","('genomic', 0.36768043)","('infectious', 0.35234514)","('ebola', 0.34934703)","('genome', 0.34598136)","('covid', 0.32668576)","('infection', 0.32650673)","('epidemic', 0.32164115)","('epidemiological', 0.3140235)"
16,"('compiler', 0.4743668)","('program', 0.44352505)","('software', 0.38858038)","('programmer', 0.38641107)","('monad', 0.35420167)","('supercomputer', 0.33664462)","('haskell', 0.33562064)","('specification', 0.32909423)","('implementation', 0.32074276)","('microprocessor', 0.31784782)"
17,"('depression', 0.30481568)","('therapist', 0.3037065)","('disability', 0.3030373)","('therapy', 0.30220208)","('distress', 0.27190387)","('recovery', 0.27077013)","('clinical', 0.27016717)","('counsel', 0.263508)","('relapse', 0.2604134)","('psychological', 0.256985)"
18,"('metadata', 0.3935855)","('semantic', 0.38292024)","('classification', 0.34562382)","('datasets', 0.3331946)","('annotate', 0.32772937)","('search', 0.31595695)","('nlp', 0.31254226)","('software', 0.30909768)","('ontology', 0.3089052)","('vocabulary', 0.3011012)"
19,"('machining', 0.421175)","('mechanical', 0.3350971)","('titanium', 0.2748538)","('alloy', 0.27347198)","('manufacturing', 0.26659134)","('tensile', 0.26414135)","('aluminium', 0.25307277)","('industrial', 0.24333775)","('engineering', 0.22690839)","('gear', 0.20564687)"
