topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('healthcare', 0.45351005)","('clinical', 0.40112072)","('health', 0.39971057)","('medicine', 0.37844282)","('hospital', 0.35624343)","('patient', 0.33524716)","('treatment', 0.33470935)","('disability', 0.33394057)","('disease', 0.31780952)","('hcv', 0.31151307)"
0,"('engineering', 0.48076072)","('manufacturing', 0.41620564)","('industrial', 0.41597027)","('infrastructure', 0.410026)","('innovation', 0.38758776)","('production', 0.38215673)","('patent', 0.3690717)","('software', 0.3676135)","('company', 0.35415807)","('manufacturer', 0.35332695)"
1,"('biodiversity', 0.5782237)","('ecological', 0.5436759)","('wildlife', 0.523023)","('ecosystem', 0.5224588)","('conservation', 0.48861992)","('climate', 0.47056854)","('habitat', 0.45651412)","('environmental', 0.43333262)","('environment', 0.40571344)","('greenhouse', 0.38231814)"
2,"('educator', 0.4973445)","('outreach', 0.4787464)","('educational', 0.47617376)","('teacher', 0.46918482)","('student', 0.42324352)","('science', 0.41634375)","('curriculum', 0.41435298)","('teach', 0.41128582)","('inspire', 0.39827085)","('astronomy', 0.39013553)"
3,"('radiotherapy', 0.43509305)","('cancer', 0.4131165)","('chemotherapy', 0.40388316)","('malignancy', 0.35554758)","('clinical', 0.31786048)","('clinician', 0.3115118)","('treatment', 0.30043662)","('healthcare', 0.29270446)","('prostate', 0.28060758)","('patient', 0.2616024)"
4,"('stroke', 0.5539928)","('rehabilitation', 0.48672235)","('disability', 0.38639644)","('recovery', 0.33479083)","('neurological', 0.31803843)","('clinical', 0.31572375)","('therapist', 0.30071718)","('physiotherapy', 0.29623652)","('clinician', 0.2758358)","('therapy', 0.27122378)"
5,"('ambulance', 0.52046704)","('hospital', 0.506279)","('paramedic', 0.45549288)","('healthcare', 0.43709528)","('medical', 0.39551014)","('medic', 0.3886766)","('clinical', 0.3714698)","('service', 0.3691653)","('mortality', 0.35239345)","('cps', 0.34664595)"
6,"('vaccination', 0.5613612)","('vaccine', 0.5515219)","('vaccinate', 0.48265672)","('immunisation', 0.4639889)","('hpv', 0.43659055)","('influenza', 0.3727709)","('outbreak', 0.3714764)","('papillomavirus', 0.3544536)","('pcv', 0.34111023)","('rsv', 0.3359441)"
7,"('maternity', 0.521254)","('preeclampsia', 0.5111509)","('neonatal', 0.49971402)","('midwifery', 0.47784585)","('maternal', 0.47667593)","('childbirth', 0.45363113)","('newborn', 0.44185114)","('perinatal', 0.4379188)","('pregnancy', 0.41168416)","('infant', 0.41022056)"
8,"('health', 0.4258426)","('healthcare', 0.355643)","('healthy', 0.3484476)","('unicef', 0.33205694)","('prevention', 0.33019263)","('child', 0.32346946)","('childhood', 0.3220142)","('parent', 0.31148666)","('obesity', 0.3052036)","('diet', 0.29790848)"
9,"('dementia', 0.65249306)","('caregiver', 0.36223426)","('carers', 0.33031327)","('healthcare', 0.3117654)","('health', 0.3112386)","('care', 0.31042337)","('manage', 0.28714317)","('hospital', 0.28713384)","('carer', 0.2835651)","('living', 0.27394778)"
10,"('epidemiological', 0.427249)","('regulatory', 0.40333235)","('safety', 0.38157386)","('risk', 0.37221104)","('pesticide', 0.35708925)","('campylobacter', 0.3353591)","('enforcement', 0.32720977)","('pandemic', 0.32636568)","('poultry', 0.3222174)","('misuse', 0.31454223)"
11,"('cardiology', 0.5167067)","('cardiac', 0.47968423)","('cardiologist', 0.47913426)","('cardiovascular', 0.45395106)","('myocardial', 0.4500105)","('coronary', 0.41753754)","('medical', 0.36787078)","('clinical', 0.36307013)","('heart', 0.33663204)","('hospital', 0.33454502)"
12,"('suicide', 0.3993783)","('health', 0.39676654)","('psychiatric', 0.3883567)","('depression', 0.36935726)","('distress', 0.36660472)","('charity', 0.34300858)","('wellbeing', 0.33029345)","('counsel', 0.31883422)","('therapy', 0.3063722)","('psychotherapy', 0.30382094)"
13,"('museum', 0.6021739)","('archaeology', 0.5131106)","('archaeological', 0.5129591)","('exhibit', 0.5083619)","('exhibition', 0.4949578)","('preservation', 0.42800015)","('artefact', 0.4053474)","('artwork', 0.3718435)","('unesco', 0.36698797)","('conservation', 0.3640964)"
14,"('eyecare', 0.6458665)","('ophthalmologist', 0.52325296)","('blindness', 0.5051808)","('cataract', 0.4855554)","('retinopathy', 0.46732318)","('optometrist', 0.45854342)","('ocular', 0.458036)","('ophthalmic', 0.4487655)","('eye', 0.44268894)","('macular', 0.43539906)"
15,"('malaria', 0.63630164)","('mosquito', 0.44749027)","('antimalarial', 0.44262606)","('insecticide', 0.41538742)","('parasite', 0.3689885)","('prevention', 0.36256188)","('dengue', 0.3532622)","('artemisinin', 0.35276455)","('endemic', 0.33794257)","('disease', 0.3140716)"
16,"('hiv', 0.6446619)","('antiretroviral', 0.55032533)","('infect', 0.3732017)","('clinical', 0.32355645)","('prophylaxis', 0.29559392)","('syphilis', 0.28351036)","('prevention', 0.281732)","('virus', 0.28164184)","('infection', 0.2783621)","('cryptococcal', 0.27372536)"
17,"('banking', 0.52461183)","('bank', 0.48139298)","('risk', 0.4081237)","('insurer', 0.34347832)","('pension', 0.33951592)","('insurance', 0.3337368)","('investment', 0.31656086)","('diversification', 0.29762864)","('asset', 0.29613072)","('methodology', 0.27924523)"
18,"('diabetes', 0.5351805)","('insulin', 0.50996435)","('diabetic', 0.46998045)","('glucose', 0.3634268)","('screening', 0.34046382)","('hyperglycaemic', 0.33595675)","('clinician', 0.30716515)","('healthcare', 0.29828203)","('genetic', 0.28899264)","('clinical', 0.2835266)"
19,"('healthcare', 0.4169795)","('physiotherapy', 0.4165011)","('disability', 0.40114552)","('health', 0.3676728)","('pain', 0.3352)","('healthtalk', 0.31250638)","('musculoskeletal', 0.30490965)","('clinical', 0.30487627)","('osteoarthritis', 0.29491162)","('arthritis', 0.28160918)"
20,"('obesity', 0.49489725)","('sugar', 0.48560208)","('diet', 0.46758676)","('nutrition', 0.43623245)","('diabetes', 0.42868698)","('dietary', 0.41581556)","('consumption', 0.41361916)","('obese', 0.41068566)","('health', 0.38880742)","('sugary', 0.37122756)"
21,"('copd', 0.5456784)","('inhaler', 0.49799013)","('asthma', 0.49736267)","('asthmatic', 0.49559194)","('lung', 0.45262623)","('inhale', 0.43966094)","('pulmonary', 0.43702054)","('respiratory', 0.43350857)","('chronic', 0.3614871)","('clinical', 0.3490003)"
22,"('robot', 0.5554094)","('robotics', 0.53357756)","('robotic', 0.53171027)","('automation', 0.43946224)","('technological', 0.41284543)","('intelligence', 0.41200107)","('expertise', 0.38378134)","('artificial', 0.36234343)","('architecture', 0.35501015)","('adaptive', 0.35173282)"
23,"('fracture', 0.38881233)","('osteoporotic', 0.36385858)","('osteoporosis', 0.34546858)","('orthopaedics', 0.3214326)","('hip', 0.31023163)","('bone', 0.29495662)","('trial', 0.29352456)","('medical', 0.28253704)","('clinical', 0.28016654)","('effectiveness', 0.27998006)"
24,"('antibiotic', 0.5889791)","('antimicrobial', 0.5151451)","('amoxicillin', 0.48667398)","('prescription', 0.4616539)","('microbiologist', 0.39728078)","('hospital', 0.38926965)","('infection', 0.3841093)","('clinical', 0.3661157)","('rcdi', 0.3477226)","('healthcare', 0.33950394)"
25,"('nursing', 0.6209276)","('nurse', 0.5616149)","('midwifery', 0.49186736)","('midwife', 0.46522522)","('workforce', 0.37730932)","('healthcare', 0.3659716)","('competency', 0.3645428)","('profession', 0.35653144)","('clinical', 0.34847313)","('competence', 0.34000373)"
26,"('dental', 0.6474531)","('dentistry', 0.6245742)","('dentist', 0.58783793)","('tooth', 0.49913174)","('oral', 0.46293092)","('periodontitis', 0.44369516)","('periodontal', 0.43888557)","('caries', 0.4376685)","('gum', 0.39594406)","('clinical', 0.3843581)"
