topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('hcv', 0.362844)","('health', 0.3157553)","('healthcare', 0.3029164)","('medical', 0.2769785)","('clinical', 0.2724033)","('hospital', 0.24746984)","('disease', 0.22840121)","('hpv', 0.22824714)","('treatment', 0.21637943)","('liver', 0.20738001)"
0,"('industrial', 0.26693553)","('software', 0.24048434)","('manufacturing', 0.23700213)","('engineering', 0.2221896)","('monitoring', 0.20840344)","('laboratory', 0.20554748)","('engine', 0.20314175)","('sensor', 0.1959719)","('production', 0.1950831)","('performance', 0.18667726)"
1,"('wildlife', 0.46304125)","('biodiversity', 0.460612)","('ecosystem', 0.40479106)","('iucn', 0.3812157)","('habitat', 0.38104314)","('conservation', 0.3601333)","('landscape', 0.32104734)","('agriculture', 0.28711975)","('nature', 0.28616476)","('environmental', 0.2858355)"
2,"('oncology', 0.39963704)","('prostate', 0.3401063)","('cancer', 0.32874864)","('chemotherapy', 0.31173944)","('radiotherapy', 0.26944345)","('tumour', 0.25801736)","('clinical', 0.24280074)","('clinician', 0.21883419)","('metastatic', 0.19724292)","('health', 0.19590458)"
3,"('educational', 0.35989276)","('curriculum', 0.32621795)","('student', 0.27290958)","('teach', 0.24038291)","('engineering', 0.23369291)","('intelligence', 0.21939562)","('program', 0.20450532)","('teacher', 0.20147161)","('challenge', 0.19461675)","('school', 0.19392222)"
4,"('astronomy', 0.34476253)","('matter', 0.30598512)","('nasa', 0.30051675)","('outreach', 0.30029216)","('cern', 0.29327118)","('astrophysics', 0.28665662)","('discovery', 0.28400153)","('universe', 0.28321993)","('scientific', 0.2714665)","('higgs', 0.26866055)"
5,"('vaccine', 0.5170002)","('vaccination', 0.49172413)","('vaccinate', 0.4066283)","('immunisation', 0.39773434)","('influenza', 0.37448308)","('outbreak', 0.31752524)","('pandemic', 0.2998564)","('flu', 0.2963763)","('infectious', 0.29573268)","('epidemic', 0.28743845)"
6,"('osteoarthritis', 0.32944757)","('pain', 0.27537638)","('physiotherapy', 0.27444082)","('osteopath', 0.26042807)","('arthritis', 0.25677747)","('orthopaedic', 0.2502253)","('chronic', 0.22377837)","('knee', 0.22291881)","('clinical', 0.22097108)","('disability', 0.21426317)"
7,"('cardiac', 0.4746527)","('cardiovascular', 0.47421178)","('cardiology', 0.46149316)","('myocardial', 0.36680153)","('coronary', 0.31799218)","('heart', 0.3091091)","('cholesterol', 0.25036693)","('clinical', 0.24586982)","('resuscitation', 0.24545959)","('ecg', 0.23270454)"
8,"('maternity', 0.50717044)","('obstetrician', 0.5005915)","('childbirth', 0.4862757)","('midwifery', 0.45925927)","('fetal', 0.44003984)","('neonatal', 0.4146273)","('midwife', 0.41170746)","('maternal', 0.41091964)","('perinatal', 0.3807637)","('prenatal', 0.36579385)"
9,"('ambulance', 0.38971615)","('hospital', 0.3635494)","('paramedic', 0.33554512)","('healthcare', 0.30525452)","('cpap', 0.27672517)","('nursing', 0.2740576)","('nurse', 0.26511362)","('medical', 0.26413333)","('mortality', 0.25981483)","('emergency', 0.24697335)"
10,"('stroke', 0.45415062)","('rehabilitation', 0.3433056)","('disability', 0.29845437)","('healthcare', 0.23454121)","('hospital', 0.23328832)","('clinical', 0.23064116)","('impairment', 0.22472095)","('neurological', 0.22412626)","('recovery', 0.22234368)","('clinician', 0.22061908)"
11,"('nursing', 0.50064343)","('nurse', 0.43509677)","('midwifery', 0.36057186)","('midwife', 0.3503316)","('clinical', 0.2786881)","('healthcare', 0.25858745)","('patient', 0.24979694)","('workforce', 0.24080396)","('competency', 0.21836936)","('medical', 0.21212341)"
12,"('depression', 0.31880274)","('health', 0.3147043)","('therapy', 0.29042497)","('distress', 0.28998148)","('healthcare', 0.27413377)","('counsel', 0.26048225)","('mental', 0.24715696)","('wellbeing', 0.2393471)","('psychological', 0.22841161)","('treatment', 0.21479501)"
13,"('hiv', 0.51774514)","('hivst', 0.4703864)","('antiretroviral', 0.4693489)","('prophylaxis', 0.2403237)","('clinical', 0.22597)","('infect', 0.21945938)","('cryptococcal', 0.21792081)","('stis', 0.21079272)","('healthcare', 0.20242399)","('partner', 0.19570228)"
14,"('diabetes', 0.45210388)","('diabetic', 0.37848407)","('insulin', 0.37419412)","('glucose', 0.27638513)","('routine', 0.23890936)","('islet', 0.2040393)","('genetic', 0.19609201)","('clinician', 0.18538244)","('healthcare', 0.18230204)","('clinical', 0.17725983)"
15,"('eyecare', 0.48139203)","('ophthalmology', 0.47373614)","('ophthalmologist', 0.46402693)","('retinopathy', 0.4427988)","('retinal', 0.417441)","('optometrist', 0.39368588)","('cataract', 0.38967103)","('ophthalmic', 0.38837367)","('blindness', 0.3879365)","('macular', 0.33911532)"
16,"('archaeology', 0.35877973)","('archaeological', 0.35136676)","('museum', 0.29545182)","('artefact', 0.28108957)","('digitise', 0.26503426)","('reconstruction', 0.25959116)","('digitisation', 0.25902975)","('preservation', 0.2528397)","('exhibition', 0.25215772)","('forensic', 0.24431947)"
17,"('donor', 0.40244842)","('organ', 0.32096782)","('donation', 0.30252868)","('epidemiological', 0.28002608)","('hospital', 0.23887631)","('health', 0.23753983)","('pandemic', 0.21304926)","('disease', 0.17205049)","('pollution', 0.15692776)","('epidemic', 0.14121208)"
18,"('malaria', 0.4774142)","('malarial', 0.4604686)","('mosquito', 0.37858796)","('insecticide', 0.37202245)","('antimalarial', 0.32494056)","('dengue', 0.26494366)","('parasite', 0.263085)","('faso', 0.25116393)","('saharan', 0.2405707)","('burkina', 0.23818842)"
19,"('dementia', 0.52352613)","('alzheimer', 0.40515724)","('caregiver', 0.3370418)","('carers', 0.31974187)","('carer', 0.28676987)","('care', 0.278465)","('health', 0.25279713)","('nursing', 0.24692969)","('healthcare', 0.23726112)","('manage', 0.21853204)"
20,"('hospice', 0.33977026)","('respiratory', 0.33892453)","('lung', 0.32372665)","('copd', 0.31995225)","('asthma', 0.31458935)","('inhaler', 0.30791047)","('pulmonary', 0.2951566)","('inhale', 0.2875631)","('clinical', 0.28610647)","('chronic', 0.2793727)"
21,"('pharmacy', 0.43426427)","('pharmaceutical', 0.38835832)","('pharmacist', 0.3881191)","('prescribed', 0.3816078)","('medication', 0.35716012)","('medicine', 0.34423614)","('pharmacogenomic', 0.32761574)","('prescribers', 0.29583186)","('healthcare', 0.2935724)","('drug', 0.28557312)"
22,"('child', 0.35221863)","('developmental', 0.34137526)","('childhood', 0.33748025)","('parent', 0.28748396)","('impairment', 0.27280048)","('disability', 0.26377907)","('autism', 0.23885289)","('procedure', 0.23797154)","('qualitative', 0.23551315)","('eyecare', 0.21976416)"
23,"('finance', 0.31205213)","('portfolio', 0.3055702)","('banking', 0.29884118)","('investment', 0.28143364)","('pension', 0.27580234)","('bank', 0.27151617)","('market', 0.23487972)","('risk', 0.23486069)","('insurance', 0.2237899)","('stochastic', 0.21872525)"
24,"('antibiotic', 0.46079746)","('amoxicillin', 0.44101387)","('antimicrobial', 0.3939324)","('prescription', 0.36525095)","('penicillin', 0.3528017)","('microbiology', 0.32258868)","('infection', 0.27617145)","('clinical', 0.26715893)","('vancomycin', 0.26661828)","('prescribe', 0.25738534)"
25,"('dental', 0.49671042)","('dentistry', 0.44855973)","('dentist', 0.4365214)","('tooth', 0.3714115)","('teeth', 0.34915352)","('toothbrushing', 0.34452322)","('toothpaste', 0.34346598)","('oral', 0.3334406)","('periodontal', 0.3215289)","('caries', 0.3032806)"
26,"('methodology', 0.2832517)","('risk', 0.26853323)","('regulatory', 0.26432154)","('systematic', 0.25752354)","('safety', 0.24078274)","('expertise', 0.22659044)","('pesticide', 0.21995266)","('food', 0.21766748)","('health', 0.21246827)","('consultation', 0.19952935)"
27,"('genetic', 0.3700785)","('genomic', 0.34505954)","('genetics', 0.31791428)","('diagnosis', 0.31278133)","('gene', 0.3081505)","('genome', 0.3045872)","('clinical', 0.2795709)","('syndrome', 0.27846074)","('disease', 0.25769904)","('diagnostic', 0.2558599)"
28,"('obesity', 0.42561623)","('sugar', 0.40235692)","('diabetes', 0.37818933)","('diet', 0.3639269)","('nutrition', 0.35449198)","('obese', 0.3539438)","('dietary', 0.34210622)","('consumption', 0.30470628)","('sugary', 0.29914147)","('metabolic', 0.29746115)"
29,"('clinical', 0.35447136)","('cochrane', 0.33050215)","('trialstracker', 0.30957752)","('pharmaceutical', 0.29260308)","('systematic', 0.28268027)","('medicine', 0.2452867)","('trial', 0.23556176)","('methodology', 0.22723216)","('medical', 0.2200189)","('effectiveness', 0.21850182)"
