topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('youth', 0.34228063)","('qualitative', 0.29045612)","('participation', 0.2853719)","('governance', 0.24814278)","('reform', 0.24424359)","('charity', 0.21884166)","('ireland', 0.21593091)","('disability', 0.21546614)","('examine', 0.21099561)","('young', 0.19894008)"
0,"('educator', 0.4283262)","('teacher', 0.39975607)","('classroom', 0.38747692)","('curriculum', 0.3823262)","('teach', 0.36038196)","('pedagogical', 0.34254643)","('educational', 0.33271527)","('pedagogy', 0.32460916)","('literacy', 0.3026004)","('mentor', 0.29578942)"
1,"('banking', 0.34992778)","('macroeconomic', 0.33755276)","('finance', 0.31460494)","('portfolio', 0.29793978)","('regulatory', 0.28569102)","('regulation', 0.2758741)","('bank', 0.27151543)","('investor', 0.26589948)","('pension', 0.26413766)","('investment', 0.25950637)"
2,"('catchment', 0.42249948)","('ecological', 0.3839975)","('ecosystem', 0.37208232)","('wetland', 0.3699243)","('groundwater', 0.35526237)","('environment', 0.3373031)","('environmental', 0.327678)","('biodiversity', 0.32194486)","('river', 0.3135211)","('pond', 0.3092851)"
3,"('tribunal', 0.35416782)","('victim', 0.32387146)","('offender', 0.31381738)","('criminal', 0.312189)","('justice', 0.31124824)","('offence', 0.30914164)","('homicide', 0.30714703)","('crime', 0.3036071)","('enforcement', 0.29172638)","('violence', 0.28778124)"
4,"('workforce', 0.47708955)","('employment', 0.43013376)","('workplace', 0.41566175)","('employer', 0.40518183)","('labour', 0.40059024)","('employ', 0.39994836)","('worker', 0.3985127)","('recruitment', 0.39157566)","('employee', 0.3711337)","('unemployed', 0.33010042)"
5,"('athlete', 0.48008895)","('athletic', 0.47997838)","('sport', 0.412063)","('paralympic', 0.37443334)","('coach', 0.35277045)","('endurance', 0.33441886)","('olympic', 0.3282018)","('rugby', 0.31580776)","('competitive', 0.31418008)","('soccer', 0.30299222)"
6,"('childcare', 0.40642357)","('adoption', 0.3770112)","('adopt', 0.34346515)","('childhood', 0.34284604)","('parent', 0.3306625)","('child', 0.33025593)","('parental', 0.3226211)","('poverty', 0.31238484)","('welfare', 0.30440557)","('youth', 0.28420353)"
7,"('archaeology', 0.41052106)","('archaeological', 0.3961947)","('archaeologist', 0.37767947)","('legacy', 0.33214313)","('indigenous', 0.31960446)","('neolithic', 0.31910014)","('excavation', 0.31584972)","('landscape', 0.2605529)","('reconstruction', 0.26045987)","('contemporary', 0.2588693)"
8,"('entrepreneurship', 0.43106246)","('entrepreneur', 0.42649025)","('entrepreneurial', 0.41316724)","('enterprise', 0.3833069)","('organisational', 0.37104762)","('innovation', 0.36765945)","('smes', 0.33688593)","('innovative', 0.324135)","('strategic', 0.31884766)","('corporate', 0.29075176)"
9,"('heating', 0.29933292)","('energy', 0.291084)","('building', 0.28476965)","('environment', 0.2773023)","('efficiency', 0.25043088)","('housing', 0.2502411)","('thermal', 0.24991068)","('ventilation', 0.22720811)","('carbon', 0.22372374)","('insulation', 0.22057159)"
10,"('legislation', 0.3414241)","('parliament', 0.32859778)","('brexit', 0.3223207)","('legislative', 0.26424834)","('parliamentary', 0.26401928)","('referendum', 0.26334235)","('irish', 0.24782488)","('ireland', 0.24059406)","('regulatory', 0.24040134)","('agreement', 0.23777968)"
