topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('union', 0.22286129)","('volunteer', 0.19116142)","('health', 0.18956065)","('regional', 0.18840536)","('reform', 0.18033776)","('campaign', 0.17792752)","('worker', 0.17060563)","('sustainable', 0.16681907)","('governance', 0.16672707)","('civil', 0.16607183)"
0,"('childhood', 0.3733803)","('child', 0.35987896)","('adoption', 0.35425037)","('youth', 0.32953244)","('parent', 0.32130766)","('adolescent', 0.29891896)","('unicef', 0.24009243)","('young', 0.22608835)","('educational', 0.22558558)","('poverty', 0.22217757)"
1,"('flood', 0.37410048)","('catchment', 0.3611484)","('climate', 0.33119264)","('environment', 0.32991415)","('groundwater', 0.3168564)","('environmental', 0.31165776)","('infrastructure', 0.28833854)","('ecosystem', 0.28799126)","('river', 0.28738195)","('pollution', 0.2802114)"
2,"('educator', 0.44214427)","('teacher', 0.43045634)","('classroom', 0.38585925)","('teach', 0.3798294)","('curriculum', 0.36038056)","('pedagogical', 0.34483528)","('educational', 0.33109337)","('mentor', 0.32369837)","('literacy', 0.30145654)","('pedagogy', 0.30032372)"
3,"('police', 0.36867708)","('officer', 0.34660274)","('criminal', 0.33950764)","('tribunal', 0.3123234)","('crime', 0.3097647)","('judicial', 0.2998757)","('offence', 0.28639644)","('justice', 0.27703828)","('offender', 0.2734328)","('judge', 0.26938176)"
4,"('athlete', 0.45530665)","('paralympic', 0.3773796)","('sport', 0.3705548)","('rugby', 0.3518224)","('olympic', 0.3401661)","('coach', 0.32371145)","('swimmer', 0.28997657)","('elite', 0.2861268)","('fifa', 0.281818)","('competition', 0.27954626)"
5,"('archaeology', 0.36127308)","('archaeological', 0.32584876)","('archaeologist', 0.3074056)","('neolithic', 0.3023869)","('orkney', 0.29861003)","('excavation', 0.27119088)","('curator', 0.26826996)","('volunteer', 0.2571788)","('conservation', 0.25581306)","('preserve', 0.25416148)"
6,"('parliament', 0.37984526)","('ireland', 0.36091945)","('irish', 0.3550288)","('parliamentary', 0.3542698)","('brexit', 0.3352459)","('legislation', 0.29908383)","('legislative', 0.29537064)","('scottish', 0.26253918)","('reform', 0.23765029)","('labour', 0.22917861)"
7,"('efficiency', 0.2829572)","('energy', 0.27603155)","('heating', 0.25347838)","('building', 0.23901248)","('thermal', 0.22748679)","('insulation', 0.21749419)","('carbon', 0.2106756)","('environmental', 0.20700154)","('specification', 0.20614696)","('consumption', 0.20389384)"
8,"('hospital', 0.37401897)","('healthcare', 0.3291343)","('clinical', 0.30378002)","('patient', 0.30204105)","('medical', 0.30071273)","('clinician', 0.30034968)","('clinic', 0.2955808)","('service', 0.25123546)","('nurse', 0.24985129)","('medicine', 0.23934689)"
9,"('enterprise', 0.4136833)","('entrepreneurship', 0.4003982)","('entrepreneur', 0.39228138)","('entrepreneurial', 0.37458318)","('organisational', 0.33450955)","('venture', 0.32744968)","('innovate', 0.3073691)","('smes', 0.30730715)","('strategic', 0.30567372)","('corporate', 0.29198265)"
10,"('peacebuilding', 0.4952704)","('ngo', 0.38655308)","('humanitarian', 0.36539185)","('peace', 0.35400298)","('unicef', 0.32387823)","('reconciliation', 0.3015281)","('crisis', 0.27477634)","('afghanistan', 0.25860092)","('taliban', 0.24632654)","('conflict', 0.24582738)"
11,"('workforce', 0.4427207)","('employment', 0.37022796)","('employer', 0.36864227)","('recruitment', 0.3607052)","('labour', 0.34894735)","('workplace', 0.34348142)","('worker', 0.341608)","('employee', 0.33640534)","('wage', 0.3315692)","('unemployed', 0.32939893)"
12,"('healthcare', 0.39016366)","('carers', 0.36729303)","('hospital', 0.36660582)","('medical', 0.31521755)","('clinical', 0.30171466)","('health', 0.29669666)","('patient', 0.28705388)","('ambulance', 0.27210113)","('care', 0.26980025)","('organisational', 0.25889015)"
