Q28,BERT_topic_Q9,BERT_proba_Q9,BERT_topic_Q11,BERT_proba_Q11,BERT_topic_Q16,BERT_proba_Q16,BERT_topic_Q17,BERT_proba_Q17,BERT_topic_Q21,BERT_proba_Q21,BERT_topic_Q24,BERT_proba_Q24,BERT_topic_total,BERT_proba_total
34573,0.0,0.840038449637749,0.0,0.877298836790677,,,1.0,1.0,1.0,0.6070946990967844,3.0,1.0,2,1.0
42616,1.0,1.0,,,0.0,0.8671769973382627,1.0,0.79350672841284,0.0,0.8246788611250508,1.0,0.3666335918271917,0,1.0
18846,0.0,0.6003841182874998,1.0,0.9220894840385312,0.0,0.8390829128003559,2.0,1.0,,,,,2,0.382325370760008
65755,1.0,0.13377237668170522,0.0,0.8491307495143352,0.0,0.985927757347721,2.0,0.3964877932010954,,,0.0,0.20344445728493582,2,0.6343680996049205
30186,0.0,1.0,0.0,0.8950549115913208,0.0,0.643948496154346,0.0,0.5542941863655564,1.0,0.6589353600939869,3.0,0.7031251084806035,1,0.6942050537925196
95507,3.0,0.45268800843299606,0.0,1.0,0.0,0.9498332847494271,0.0,0.40238114713081746,0.0,0.4066768368362232,0.0,0.8146161687322488,2,0.3011976360279762
19275,0.0,0.8893132439590453,0.0,1.0,0.0,0.812715799992308,0.0,0.40704963366416486,,,0.0,0.4684287585234486,1,0.6473450799343046
50117,2.0,0.28570894223411913,0.0,0.8331167070816774,0.0,1.0,0.0,0.36736919788220906,0.0,1.0,1.0,0.46962156701514485,0,0.38234881997994163
37987,,,,,,,,,,,,,1,0.008566091359521721
26994,0.0,1.0,0.0,0.9323579660991311,0.0,0.5855738862825213,2.0,0.3096522238363765,,,0.0,0.6888230139740275,1,0.279825470409596
45541,0.0,0.7110422531974576,1.0,1.0,1.0,1.0,2.0,1.0,,,,,1,0.32852269217481767
89746,0.0,0.7376009450653014,0.0,1.0,0.0,0.7342262933393915,2.0,1.0,0.0,0.6844452329883985,0.0,0.17064328362740255,1,0.4427625124872502
64678,2.0,0.27059338804046074,0.0,1.0,0.0,0.7938291429701965,0.0,1.0,,,3.0,1.0,0,0.6107625051383393
49295,2.0,0.7098655257111937,0.0,1.0,,,0.0,1.0,,,,,0,0.6446867600052485
6168,0.0,1.0,0.0,0.8559251004861633,0.0,0.6345454707751731,1.0,0.34713674352562607,1.0,0.6387317878368959,3.0,0.20257175132851826,1,1.0
75769,0.0,0.4815864428272969,0.0,0.9124300860566789,0.0,0.8248212397442776,2.0,0.34397797246936357,,,2.0,0.4162982377901475,1,0.639990568293391
39014,0.0,1.0,0.0,0.9485147268563794,0.0,0.8902883250560382,2.0,0.3490600328267023,0.0,1.0,1.0,0.3322507975894634,0,0.630878756303633
64484,1.0,0.4988868297768733,0.0,0.7244162380843419,0.0,0.982413107020808,0.0,1.0,,,3.0,0.8902259688283122,2,0.3160322501831457
38333,0.0,0.6836858955253539,0.0,0.7583995360922177,1.0,1.0,0.0,0.5760068957521116,,,2.0,0.30344204216900517,1,0.3276601436110746
48165,0.0,0.24993599594120053,0.0,0.8894593079008762,0.0,0.7990509266627049,1.0,0.4364506931205322,0.0,0.7074940792853659,0.0,0.4469593487906547,2,1.0
1744,0.0,1.0,0.0,1.0,0.0,0.9061038999607077,0.0,0.6283583737356446,,,0.0,1.0,0,0.46026937285878206
59852,0.0,0.7435731941008404,0.0,0.9038129051550954,0.0,0.5448543321359983,1.0,1.0,,,0.0,1.0,2,0.38942444954472377
72315,1.0,0.27035767310893916,0.0,0.8656559510065104,0.0,0.7553443543763044,2.0,0.3457767440854676,1.0,0.516709799528149,2.0,0.4933976776534978,1,0.5273031858876721
21309,0.0,1.0,0.0,1.0,0.0,0.8740830932584729,2.0,0.8129605127882646,,,1.0,0.6659597444285834,0,0.46080404770306815
50866,4.0,0.29471719398670754,0.0,0.8003883579027962,0.0,0.6457677486479434,0.0,0.5202330982188423,,,3.0,0.49004353690133595,1,0.5063819518153017
339,,,,,,,,,,,,,1,0.008563272651338796
