topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('curriculum', 0.23565835)","('educational', 0.22805256)","('health', 0.19129735)","('building', 0.19019562)","('reform', 0.18498717)","('environment', 0.17952596)","('environmental', 0.1627403)","('care', 0.16034287)","('family', 0.1593262)","('political', 0.1572949)"
0,"('curatorial', 0.34306115)","('contemporary', 0.3125716)","('curator', 0.30870092)","('exhibit', 0.29708448)","('craft', 0.2914896)","('curated', 0.28948063)","('exhibition', 0.2869227)","('museum', 0.28002867)","('artistic', 0.26914892)","('artwork', 0.25184742)"
1,"('hospital', 0.38322818)","('healthcare', 0.37567824)","('hospice', 0.33809853)","('medical', 0.33035254)","('clinical', 0.31646347)","('patient', 0.31079793)","('nursing', 0.29676488)","('clinician', 0.2841484)","('carers', 0.28189045)","('health', 0.27400887)"
2,"('music', 0.4562682)","('musical', 0.42648828)","('musician', 0.4132537)","('orchestra', 0.4025588)","('composition', 0.37240905)","('instrument', 0.36384574)","('choir', 0.36125904)","('conservatoire', 0.359775)","('composer', 0.35246652)","('piano', 0.34058732)"
3,"('entrepreneurship', 0.40675485)","('entrepreneur', 0.38978964)","('enterprise', 0.38211575)","('entrepreneurial', 0.37746334)","('organisational', 0.36942118)","('smes', 0.32065302)","('growth', 0.30741307)","('productivity', 0.30252883)","('innovate', 0.30191186)","('corporate', 0.29920587)"
4,"('workforce', 0.4090631)","('wage', 0.37751812)","('employment', 0.35535616)","('unemployment', 0.34693503)","('income', 0.34189287)","('unemployed', 0.3412806)","('worker', 0.31264788)","('employer', 0.31234646)","('workplace', 0.30260658)","('labour', 0.2995257)"
5,"('archaeology', 0.4646083)","('neolithic', 0.44840464)","('archaeological', 0.42930657)","('excavation', 0.40946126)","('archaeologist', 0.36640435)","('medieval', 0.3364911)","('landscape', 0.30575725)","('stonehenge', 0.30017972)","('orkney', 0.29674256)","('welsh', 0.29229835)"
6,"('freshwater', 0.41255665)","('catchment', 0.40907773)","('ecological', 0.35727763)","('ecosystem', 0.35546786)","('groundwater', 0.3451348)","('environment', 0.34426633)","('environmental', 0.33079526)","('pollution', 0.31372243)","('pond', 0.30765995)","('biodiversity', 0.29464048)"
7,"('poet', 0.49758685)","('poetry', 0.4643921)","('literature', 0.42428216)","('writer', 0.3909182)","('poem', 0.38167772)","('literary', 0.37234876)","('poetic', 0.3373909)","('dylan', 0.25320655)","('wordsworth', 0.25235847)","('author', 0.23859757)"
8,"('athlete', 0.47804773)","('sport', 0.40188795)","('compete', 0.37104684)","('paralympic', 0.35818458)","('elite', 0.35241878)","('paralympics', 0.34353662)","('rugby', 0.34050357)","('competitive', 0.3299088)","('olympic', 0.30789483)","('league', 0.29143506)"
9,"('renewable', 0.4476039)","('energy', 0.36546528)","('sustainable', 0.31691954)","('electricity', 0.31625515)","('environment', 0.29416662)","('heating', 0.2929495)","('efficiency', 0.27555102)","('carbon', 0.27328083)","('fuel', 0.26923257)","('environmental', 0.26416925)"
10,"('migrant', 0.55805415)","('refugee', 0.51021254)","('migration', 0.42453128)","('immigrant', 0.42105)","('immigration', 0.41659957)","('asylum', 0.31775898)","('citizenship', 0.30906832)","('seeker', 0.28665894)","('brexit', 0.2514519)","('traveller', 0.24885637)"
11,"('depression', 0.38657153)","('psychiatric', 0.37637883)","('psychiatry', 0.37195146)","('psychotherapy', 0.3704353)","('relapse', 0.366907)","('antidepressant', 0.36440042)","('therapy', 0.35486838)","('therapeutic', 0.34621418)","('rehabilitation', 0.3445992)","('psychiatrist', 0.3287851)"
12,"('childcare', 0.43488616)","('adoption', 0.40669793)","('adopt', 0.36908162)","('welfare', 0.3301245)","('childhood', 0.31559572)","('parent', 0.30995402)","('poverty', 0.30756396)","('maternal', 0.29439634)","('child', 0.28986818)","('family', 0.28712487)"
13,"('stroke', 0.4672172)","('rehabilitation', 0.27839506)","('thrombolysis', 0.26780653)","('tia', 0.22955456)","('neurological', 0.20983578)","('clinical', 0.20789558)","('ischaemic', 0.18599445)","('clot', 0.16567314)","('healthcare', 0.16422825)","('impairment', 0.15799153)"
14,"('ulster', 0.5039496)","('irish', 0.46403277)","('ireland', 0.42174676)","('unionist', 0.40661144)","('belfast', 0.39383054)","('dublin', 0.37682182)","('protestant', 0.30065948)","('loyalist', 0.29754716)","('reconciliation', 0.2539792)","('referendum', 0.25222734)"
15,"('ecumenical', 0.43888402)","('clergy', 0.43449718)","('catholic', 0.426118)","('church', 0.41213056)","('theological', 0.41023833)","('congregation', 0.40061796)","('theology', 0.38702327)","('theologian', 0.3834421)","('anglican', 0.3699345)","('liturgy', 0.36421406)"
16,"('constabulary', 0.49574104)","('police', 0.40726483)","('constable', 0.39741278)","('officer', 0.39456773)","('enforcement', 0.3270939)","('arrest', 0.29250026)","('conduct', 0.246061)","('criminal', 0.22645232)","('offence', 0.21171148)","('crime', 0.20627354)"
17,"('educator', 0.458608)","('teacher', 0.44486034)","('teach', 0.38825306)","('curriculum', 0.382666)","('classroom', 0.37774783)","('pedagogical', 0.3712217)","('pedagogy', 0.32736012)","('mentor', 0.31309626)","('learner', 0.30878747)","('educational', 0.3023377)"
18,"('electoral', 0.41090578)","('voter', 0.40758467)","('election', 0.3637448)","('polling', 0.36094955)","('voting', 0.3606754)","('constituency', 0.3575471)","('vote', 0.33739445)","('referendum', 0.32789803)","('candidate', 0.31255597)","('parliamentary', 0.29972982)"
19,"('violence', 0.31854975)","('victim', 0.30373457)","('safeguard', 0.30003554)","('rape', 0.27063888)","('constabulary', 0.27051404)","('police', 0.26117754)","('offence', 0.2597559)","('officer', 0.25426012)","('perpetrator', 0.2484372)","('abuse', 0.24726376)"
20,"('feminism', 0.41352886)","('suffragette', 0.39040735)","('feminist', 0.37957096)","('suffrage', 0.35470462)","('woman', 0.33800262)","('gender', 0.28768474)","('female', 0.27334508)","('activism', 0.25960153)","('activist', 0.2584266)","('contemporary', 0.2524213)"
21,"('disability', 0.53983366)","('disabled', 0.32374614)","('inclusive', 0.3085224)","('employment', 0.2892345)","('employer', 0.25792283)","('deprivation', 0.24743941)","('accessibility', 0.24084258)","('accessible', 0.23776768)","('inclusion', 0.22693351)","('hardship', 0.22545043)"
22,"('peacebuilding', 0.5626929)","('peacekeeping', 0.4866233)","('peace', 0.3975127)","('ngo', 0.39133647)","('humanitarian', 0.38782573)","('reconciliation', 0.36004966)","('uganda', 0.31156316)","('conflict', 0.28345037)","('unicef', 0.27316082)","('military', 0.25795218)"
23,"('prisoner', 0.51671696)","('prison', 0.50197774)","('inmate', 0.48920625)","('imprisonment', 0.4449247)","('rehabilitative', 0.42830947)","('convict', 0.41498327)","('parole', 0.411135)","('probation', 0.36588314)","('criminology', 0.3490147)","('offender', 0.32130414)"
24,"('banking', 0.38569307)","('finance', 0.3602256)","('macroeconomic', 0.33894002)","('bank', 0.33207548)","('liquidity', 0.31159914)","('macroprudential', 0.30752945)","('portfolio', 0.29031384)","('investor', 0.27680284)","('economist', 0.26578256)","('market', 0.25783193)"
25,"('soldier', 0.4571737)","('remembrance', 0.40157762)","('wartime', 0.38952708)","('army', 0.32629225)","('military', 0.3224947)","('veteran', 0.32148224)","('war', 0.3113066)","('allied', 0.3038693)","('battle', 0.29476917)","('commemoration', 0.2823279)"
26,"('judicial', 0.34042066)","('judiciary', 0.33974946)","('defendant', 0.32685542)","('court', 0.317969)","('judge', 0.26838675)","('solicitor', 0.2678661)","('lawyer', 0.2630793)","('law', 0.24784166)","('proceeding', 0.23445232)","('appeal', 0.23410214)"
27,"('procurement', 0.38356182)","('inventory', 0.32854283)","('contractor', 0.3214203)","('supplier', 0.32043815)","('organisational', 0.31468898)","('industrial', 0.30934057)","('manufacturing', 0.27849293)","('production', 0.2701829)","('strategic', 0.26772314)","('construction', 0.26668492)"
28,"('organisational', 0.3198551)","('voluntary', 0.27407423)","('communication', 0.24479204)","('ngo', 0.24223956)","('campaign', 0.24046528)","('strategic', 0.2341258)","('behavioural', 0.23335962)","('leadership', 0.22910862)","('fundraise', 0.22394952)","('ethic', 0.22363794)"
29,"('extremism', 0.4953224)","('islamophobia', 0.45906967)","('islamism', 0.44903934)","('islamist', 0.43792528)","('jihadist', 0.43170005)","('extremist', 0.40277982)","('muslimness', 0.40236932)","('antisemitism', 0.39303428)","('racism', 0.38927662)","('terrorism', 0.38591337)"
