Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
140,health_care_patient_service_collection,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]",138,contemporary_audience_educational_art_inspire,139,healthcare_hospital_health_clinical_medical,1.636591764354395
139,healthcare_hospital_health_clinical_medical,"[1, 3, 6, 8, 9, 11, 13, 24, 27, 30, 31, 33, 36, 38, 39, 40, 42, 43, 46, 49, 51, 54, 55, 57, 58, 59, 65, 67, 68]",136,health_healthcare_clinical_medical_hospital,134,sustainability_sustainable_environment_infrastructure_finance,1.5114918582506551
138,contemporary_audience_educational_art_inspire,"[0, 2, 4, 5, 7, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 32, 34, 35, 37, 41, 44, 45, 47, 48, 50, 52, 53, 56, 60, 61, 62, 63, 64, 66, 69, 70]",137,contemporary_exhibition_archaeology_artistic_museum,135,prison_victim_violence_disability_scottish,1.451108126880607
137,contemporary_exhibition_archaeology_artistic_museum,"[0, 2, 5, 7, 17, 25, 35, 44, 47, 48, 52, 53, 60, 61, 62, 64, 66]",128,educator_curriculum_literacy_classroom_pedagogical,132,artistic_contemporary_curatorial_audience_music,1.3036906544822036
136,health_healthcare_clinical_medical_hospital,"[1, 8, 11, 13, 31, 39, 42, 43, 46, 57, 59]",95,athlete_compete_sport_paralympic_competitive,125,healthcare_health_clinical_medical_hospital,1.271173874865539
135,prison_victim_violence_disability_scottish,"[4, 10, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 26, 28, 29, 32, 34, 37, 41, 45, 50, 56, 63, 69, 70]",133,migrant_irish_immigration_ireland_migration,122,violence_offender_safeguard_victim_rape,1.127394485582708
134,sustainability_sustainable_environment_infrastructure_finance,"[3, 6, 9, 24, 27, 30, 33, 36, 38, 40, 49, 51, 54, 55, 58, 65, 67, 68]",130,sustainability_building_infrastructure_industrial_environment,131,agriculture_macroeconomic_agricultural_economist_farmer,1.079804178442045
133,migrant_irish_immigration_ireland_migration,"[4, 10, 14, 15, 18, 20, 21, 22, 26, 28, 29, 32, 37, 41, 45, 50, 63, 69, 70]",129,migrant_immigration_participation_refugee_diversity,108,parliament_parliamentary_electoral_voter_voting,1.048394843682539
132,artistic_contemporary_curatorial_audience_music,"[0, 2, 5, 7, 25, 44, 48, 52, 53, 60, 61, 64]",109,curatorial_literature_artistic_contemporary_curator,123,shakespearean_shakespeare_playwright_theatre_audience,1.045523648196056
131,agriculture_macroeconomic_agricultural_economist_farmer,"[24, 49, 55, 58, 65, 67, 68]",121,nutrition_food_agriculture_hunger_agricultural,120,macroeconomic_banking_finance_economist_portfolio,1.0024438491210927
130,sustainability_building_infrastructure_industrial_environment,"[3, 6, 9, 27, 30, 33, 36, 38, 40, 51, 54]",126,entrepreneurship_enterprise_entrepreneur_entrepreneurial_smes,119,climate_catchment_environment_environmental_flood,1.0023874886106143
129,migrant_immigration_participation_refugee_diversity,"[4, 10, 14, 15, 20, 21, 22, 28, 29, 32, 37, 45, 50, 63, 69]",127,workforce_employment_workplace_worker_employer,124,migrant_refugee_immigration_migration_irish,0.9589945818961786
128,educator_curriculum_literacy_classroom_pedagogical,"[17, 35, 47, 62, 66]",93,gaelic_scottish_irish_macleod_welsh,86,educator_teacher_curriculum_teach_literacy,0.95123762706896
127,workforce_employment_workplace_worker_employer,"[4, 21, 28, 37, 50, 69]",50,slavery_slave_legacy_enslave_balch,115,workforce_employment_workplace_worker_employer,0.9285921111599583
126,entrepreneurship_enterprise_entrepreneur_entrepreneurial_smes,"[3, 9, 27, 36, 51, 54]",100,housing_homelessness_rent_affordability_tenant,99,infrastructure_entrepreneurship_renewable_sustainability_entrepreneur,0.9142344512498215
125,healthcare_health_clinical_medical_hospital,"[1, 11, 13, 31, 39, 42, 43, 57]",76,fitness_health_sedentary_exercise_cardiovascular,118,healthcare_hospital_clinical_health_medical,0.9129695437472016
124,migrant_refugee_immigration_migration_irish,"[10, 14, 15, 20, 22, 29, 32, 45, 63]",114,migrant_refugee_immigrant_immigration_ulster,117,peacebuilding_clergy_theological_reconciliation_catholic,0.9050331229998805
123,shakespearean_shakespeare_playwright_theatre_audience,"[53, 60, 61, 64]",102,shakespearean_shakespeare_playwright_theatre_stratford,61,dancer_dance_ballet_choreography_choreographer,0.9035880385830307
122,violence_offender_safeguard_victim_rape,"[12, 16, 19, 23, 34, 56]",116,violence_offender_safeguard_victim_rape,56,prostitution_sexuality_sex_hiv_lgbt,0.8890261853503573
121,nutrition_food_agriculture_hunger_agricultural,"[49, 65, 68]",110,nutrition_food_meal_agriculture_hunger,68,poverty_income_deprivation_livelihood_poorest,0.8843065429451995
120,macroeconomic_banking_finance_economist_portfolio,"[24, 55, 58, 67]",112,banking_macroeconomic_finance_bank_liquidity,55,taxation_tax_income_taxpayer_fiscal,0.883372579839925
119,climate_catchment_environment_environmental_flood,"[6, 30, 33, 38, 40]",111,climate_environment_environmental_vulnerable_mitigation,82,freshwater_catchment_ecological_ecosystem_groundwater,0.8756478146410474
118,healthcare_hospital_clinical_health_medical,"[1, 11, 13, 31, 43, 57]",113,healthcare_clinical_hospital_medical_patient,43,autism_autistic_autistica_disability_adhd,0.8687794086038901
117,peacebuilding_clergy_theological_reconciliation_catholic,"[15, 22, 29, 63]",84,peacebuilding_peacekeeping_peace_ngo_humanitarian,92,clergy_catholic_church_congregation_ecumenical,0.8647142793950877
116,violence_offender_safeguard_victim_rape,"[12, 16, 19, 23, 34]",105,constabulary_constable_officer_police_probation,90,safeguard_violence_abuse_vulnerable_victim,0.850967919076588
115,workforce_employment_workplace_worker_employer,"[4, 21, 28, 37, 69]",103,workforce_disability_employment_workplace_worker,69,youth_young_teenager_participation_grassroots,0.8457946443752117
114,migrant_refugee_immigrant_immigration_ulster,"[10, 14, 20, 32, 45]",80,feminism_feminist_gender_woman_suffragette,106,migrant_immigrant_immigration_refugee_ulster,0.8340977597427949
113,healthcare_clinical_hospital_medical_patient,"[1, 11, 13, 31, 57]",31,dementia_alzheimer_cognitive_carers_amnesia,107,healthcare_hospital_clinical_medical_patient,0.8310484575895537
112,banking_macroeconomic_finance_bank_liquidity,"[24, 58, 67]",104,banking_finance_bank_macroeconomic_liquidity,58,tariff_procurement_trading_brexit_wto,0.8211912619674747
111,climate_environment_environmental_vulnerable_mitigation,"[30, 33, 38]",30,casualty_safety_accident_traffic_road,97,climate_environment_environmental_vulnerable_mitigation,0.8032380740836356
110,nutrition_food_meal_agriculture_hunger,"[49, 65]",49,dietary_nutrition_food_meal_hunger,65,agriculture_agricultural_farmer_livestock_farm,0.7921382157109649
109,curatorial_literature_artistic_contemporary_curator,"[0, 2, 5, 7, 25, 44, 48, 52]",98,holocaust_genocide_nazi_commemoration_jewish,101,artistic_art_curatorial_contemporary_literature,0.7765361527431143
108,parliament_parliamentary_electoral_voter_voting,"[18, 26, 41, 70]",83,judiciary_judicial_legislation_law_justice,89,electoral_voter_election_polling_voting,0.776517775680755
107,healthcare_hospital_clinical_medical_patient,"[1, 11, 13, 57]",81,healthcare_clinical_hospital_medical_patient,57,suicidal_suicide_die_cptsd_health,0.7740980700671555
106,migrant_immigrant_immigration_refugee_ulster,"[10, 14, 32]",94,migrant_immigrant_immigration_refugee_ulster,32,lgbtq_lgbt_lgbtqia_queer_transgender,0.7723487571867417
105,constabulary_constable_officer_police_probation,"[16, 23]",23,prisoner_prison_inmate_imprisonment_rehabilitative,16,constabulary_police_constable_officer_enforcement,0.7616545029503403
104,banking_finance_bank_macroeconomic_liquidity,"[24, 67]",67,merger_merge_market_competition_corporate,24,banking_finance_macroeconomic_bank_liquidity,0.7585214093139352
103,workforce_disability_employment_workplace_worker,"[4, 21, 28, 37]",91,workforce_disability_employment_workplace_worker,37,postgraduate_vocational_qualification_applicant_admission,0.7498781124939474
102,shakespearean_shakespeare_playwright_theatre_stratford,"[53, 60, 64]",53,shakespearean_shakespeare_hamlet_theatre_stratford,72,theatre_theatrical_audience_stage_playwright,0.7401867836197481
101,artistic_art_curatorial_contemporary_literature,"[0, 2, 5, 7, 25, 48]",96,curatorial_artistic_contemporary_art_curator,48,fijian_indigenous_fiji_repatriation_oceania,0.7347751489732556
100,housing_homelessness_rent_affordability_tenant,"[51, 54]",54,town_urban_neighbourhood_housing_city,51,housing_residential_tenancy_rent_homelessness,0.732741910955456
99,infrastructure_entrepreneurship_renewable_sustainability_entrepreneur,"[3, 9, 27, 36]",87,renewable_energy_sustainability_sustainable_environment,79,entrepreneurship_entrepreneur_enterprise_entrepreneurial_organisational,0.7254264299241998
98,holocaust_genocide_nazi_commemoration_jewish,"[44, 52]",52,slavery_afrikan_african_racial_colonialism,44,holocaust_auschwitz_genocide_nuremberg_nazi,0.7219211659658213
97,climate_environment_environmental_vulnerable_mitigation,"[33, 38]",38,disaster_resilience_humanitarian_tsunami_resilient,33,climate_climatejust_environment_environmental_vulnerable,0.7161725345534515
96,curatorial_artistic_contemporary_art_curator,"[0, 2, 5, 7, 25]",2,music_musical_musician_orchestra_composition,85,curatorial_contemporary_exhibition_artistic_exhibit,0.7109587657794084
95,athlete_compete_sport_paralympic_competitive,"[8, 46, 59]",59,coach_mentor_athlete_sport_competency,74,athlete_paralympic_paralympics_sport_elite,0.7085121228145015
94,migrant_immigrant_immigration_refugee_ulster,"[10, 14]",14,ulster_irish_ireland_unionist_belfast,10,migrant_refugee_migration_immigrant_immigration,0.708173912952223
93,gaelic_scottish_irish_macleod_welsh,"[47, 62]",62,gaelic_irish_scottish_celtic_gael,47,linguistic_corpus_linguistics_linguist_multilingualism,0.7021299871981728
92,clergy_catholic_church_congregation_ecumenical,"[15, 29]",29,extremism_islamophobia_islamism_islamist_jihadist,15,ecumenical_clergy_catholic_church_theological,0.6953532505819913
91,workforce_disability_employment_workplace_worker,"[4, 21, 28]",21,disability_disabled_inclusive_employment_employer,88,workforce_wage_employment_unemployment_income,0.6935572626054011
90,safeguard_violence_abuse_vulnerable_victim,"[12, 19, 34]",71,violence_victim_safeguard_rape_offender,12,childcare_adoption_adopt_welfare_childhood,0.6684173282015216
89,electoral_voter_election_polling_voting,"[18, 70]",70,parliament_legislation_legislative_parliamentary_constitutional,18,electoral_voter_election_polling_voting,0.6670046238857104
88,workforce_wage_employment_unemployment_income,"[4, 28]",4,workforce_wage_employment_unemployment_income,28,organisational_voluntary_communication_ngo_campaign,0.6664173781913445
87,renewable_energy_sustainability_sustainable_environment,"[9, 36]",9,renewable_energy_sustainable_electricity_environment,36,transport_mobility_logistics_infrastructure_traffic,0.6642288802288616
86,educator_teacher_curriculum_teach_literacy,"[17, 35, 66]",35,literacy_reader_reading_dyslexia_comprehension,77,educator_teacher_teach_curriculum_classroom,0.6565383642940847
85,curatorial_contemporary_exhibition_artistic_exhibit,"[0, 5, 7, 25]",78,curatorial_artwork_exhibition_artistic_literature,25,soldier_remembrance_wartime_army_military,0.6451440131307654
84,peacebuilding_peacekeeping_peace_ngo_humanitarian,"[22, 63]",63,lebanese_lebanon_beirut_palestinian_palestine,22,peacebuilding_peacekeeping_peace_ngo_humanitarian,0.6411228629155463
83,judiciary_judicial_legislation_law_justice,"[26, 41]",41,accountability_governance_law_oversight_protect,26,judicial_judiciary_defendant_court_judge,0.6224089370636544
82,freshwater_catchment_ecological_ecosystem_groundwater,"[6, 40]",6,freshwater_catchment_ecological_ecosystem_groundwater,40,wildlife_biodiversity_conservation_ecosystem_habitat,0.6126548849388059
81,healthcare_clinical_hospital_medical_patient,"[1, 11, 13]",13,stroke_rehabilitation_thrombolysis_tia_neurological,73,healthcare_hospice_health_clinical_hospital,0.5835697728603201
80,feminism_feminist_gender_woman_suffragette,"[20, 45]",45,recruitment_gender_diversity_leadership_female,20,feminism_suffragette_feminist_suffrage_woman,0.5580852990262444
79,entrepreneurship_entrepreneur_enterprise_entrepreneurial_organisational,"[3, 27]",3,entrepreneurship_entrepreneur_enterprise_entrepreneurial_organisational,27,procurement_inventory_contractor_supplier_organisational,0.5557791471748159
78,curatorial_artwork_exhibition_artistic_literature,"[0, 5, 7]",7,poet_poetry_literature_writer_poem,75,curatorial_craft_contemporary_exhibition_exhibit,0.5461362333662831
77,educator_teacher_teach_curriculum_classroom,"[17, 66]",17,educator_teacher_teach_curriculum_classroom,66,classroom_educational_curriculum_school_student,0.5437702685499093
76,fitness_health_sedentary_exercise_cardiovascular,"[39, 42]",42,obesity_nutrition_fitness_health_diet,39,fitness_health_sedentary_smarthealth_exercise,0.5308551101387327
75,curatorial_craft_contemporary_exhibition_exhibit,"[0, 5]",0,curatorial_contemporary_curator_exhibit_craft,5,archaeology_neolithic_archaeological_excavation_archaeologist,0.46899508940466894
74,athlete_paralympic_paralympics_sport_elite,"[8, 46]",8,athlete_sport_compete_paralympic_elite,46,athlete_athletics_endurance_triathletes_olympic,0.44990782639394933
73,healthcare_hospice_health_clinical_hospital,"[1, 11]",1,hospital_healthcare_hospice_medical_clinical,11,depression_psychiatric_psychiatry_psychotherapy_relapse,0.44703883634611186
72,theatre_theatrical_audience_stage_playwright,"[60, 64]",60,theatre_audience_theatrical_performer_participate,64,theatre_playwright_theatrical_audience_stage,0.4294843585833562
71,violence_victim_safeguard_rape_offender,"[19, 34]",19,violence_victim_safeguard_rape_constabulary,34,safeguard_abuse_child_violence_vulnerable,0.42839043305742686
