id,ics_table_id,country,countries_specific_extracted,countries_union_extracted,countries_region_extracted,countries_global_extracted
0,0,GBR,True,False,False,False
1,0,IRL,True,False,False,False
2,0,ITA,True,False,False,False
3,0,JOR,True,False,False,False
4,0,LBN,True,False,False,False
5,0,NLD,True,False,False,False
6,0,SWE,True,False,False,False
7,1,GBR,True,False,False,False
8,1,NOR,True,False,False,False
9,1,USA,True,False,False,False
10,2,AUS,True,False,False,False
11,2,BEL,True,False,False,False
12,2,CAN,True,False,False,False
13,2,CHL,True,False,False,False
14,2,CHN,True,False,False,False
15,2,FIN,True,False,False,False
16,2,FRA,True,False,False,False
17,2,GBR,True,False,False,False
18,2,NZL,True,False,False,False
19,2,USA,True,False,False,False
20,3,ETH,True,False,False,False
21,3,GBR,True,False,False,False
22,4,,False,False,False,False
23,5,GBR,True,False,False,False
24,6,ALB,True,False,True,False
25,6,AND,True,False,True,False
26,6,AUT,True,False,True,False
27,6,BEL,True,False,True,False
28,6,BGR,True,False,True,False
29,6,BIH,True,False,True,False
30,6,BLR,True,False,True,False
31,6,CHE,True,False,True,False
32,6,CZE,True,False,True,False
33,6,DEU,True,False,True,False
34,6,DNK,True,False,True,False
35,6,ESP,True,False,True,False
36,6,EST,True,False,True,False
37,6,FIN,True,False,True,False
38,6,FRA,True,False,True,False
39,6,GBR,True,False,True,False
40,6,GRC,True,False,True,False
41,6,HRV,True,False,True,False
42,6,HUN,True,False,True,False
43,6,IRL,True,False,True,False
44,6,ISL,True,False,True,False
45,6,ITA,True,False,True,False
46,6,LIE,True,False,True,False
47,6,LTU,True,False,True,False
48,6,LUX,True,False,True,False
49,6,LVA,True,False,True,False
50,6,MCO,True,False,True,False
51,6,MDA,True,False,True,False
52,6,MKD,True,False,True,False
53,6,MLT,True,False,True,False
54,6,MNE,True,False,True,False
55,6,NLD,True,False,True,False
56,6,NOR,True,False,True,False
57,6,POL,True,False,True,False
58,6,PRT,True,False,True,False
59,6,ROU,True,False,True,False
60,6,SMR,True,False,True,False
61,6,SRB,True,False,True,False
62,6,SVK,True,False,True,False
63,6,SVN,True,False,True,False
64,6,SWE,True,False,True,False
65,6,UKR,True,False,True,False
66,6,VAT,True,False,True,False
67,7,GBR,True,False,False,False
68,8,,False,False,False,False
69,9,GBR,True,False,False,False
70,9,IND,True,False,False,False
71,10,GBR,True,False,False,False
72,11,,False,False,False,False
73,12,,False,False,False,False
74,13,AUT,True,False,False,False
75,13,GBR,True,False,False,False
76,13,ITA,True,False,False,False
77,13,USA,True,False,False,False
78,14,GBR,True,False,False,False
79,15,,False,False,False,False
80,16,,False,False,False,False
81,17,GBR,True,False,False,False
82,18,,False,False,False,False
83,19,,False,False,False,False
84,20,,False,False,False,False
85,21,DEU,True,False,False,False
86,21,FRA,True,False,False,False
87,21,GBR,True,False,False,False
88,21,NLD,True,False,False,False
89,21,NOR,True,False,False,False
90,21,SWE,True,False,False,False
91,22,GBR,True,False,False,False
92,23,CAN,True,False,False,False
93,23,CHL,True,False,False,False
94,23,CHN,True,False,False,False
95,23,COL,True,False,False,False
96,23,DEU,True,False,False,False
97,23,MEX,True,False,False,False
98,23,USA,True,False,False,False
99,24,AUT,False,True,False,False
100,24,BEL,False,True,False,False
101,24,BGR,False,True,False,False
102,24,BHR,True,False,False,False
103,24,CYP,False,True,False,False
104,24,CZE,False,True,False,False
105,24,DEU,False,True,False,False
106,24,DNK,False,True,False,False
107,24,ESP,False,True,False,False
108,24,EST,False,True,False,False
109,24,FIN,False,True,False,False
110,24,FRA,False,True,False,False
111,24,GBR,True,False,False,False
112,24,GRC,False,True,False,False
113,24,HRV,False,True,False,False
114,24,HUN,False,True,False,False
115,24,IRL,False,True,False,False
116,24,ITA,False,True,False,False
117,24,LTU,False,True,False,False
118,24,LUX,False,True,False,False
119,24,LVA,False,True,False,False
120,24,MLT,False,True,False,False
121,24,NLD,False,True,False,False
122,24,POL,False,True,False,False
123,24,PRT,False,True,False,False
124,24,QAT,True,False,False,False
125,24,ROU,False,True,False,False
126,24,SVK,False,True,False,False
127,24,SVN,False,True,False,False
128,24,SWE,False,True,False,False
129,25,AUS,True,False,False,False
130,25,BEN,True,False,False,False
131,25,BFA,True,False,False,False
132,25,CIV,True,False,False,False
133,25,CMR,True,False,False,False
134,25,COD,True,False,False,False
135,25,ETH,True,False,False,False
136,25,GAB,True,False,False,False
137,25,GBR,True,False,False,False
138,25,GHA,True,False,False,False
139,25,NGA,True,False,False,False
140,25,SLE,True,False,False,False
141,25,TGO,True,False,False,False
142,25,USA,True,False,False,False
143,25,ZMB,True,False,False,False
144,26,,False,False,False,False
145,27,GBR,True,False,False,False
146,28,BGD,True,False,False,False
147,28,NGA,True,False,False,False
148,29,GBR,True,False,False,False
149,29,USA,True,False,False,False
150,30,,False,False,False,False
151,31,,False,False,False,False
152,32,GBR,True,False,False,False
153,33,AUS,True,False,False,False
154,33,BEL,True,False,False,False
155,33,CAN,True,False,False,False
156,33,CHN,True,False,False,False
157,33,DEU,True,False,False,False
158,33,ESP,True,False,False,False
159,33,FRA,True,False,False,False
160,33,GBR,True,False,False,False
161,33,HKG,True,False,False,False
162,33,IND,True,False,False,False
163,33,IRL,True,False,False,False
164,33,IRQ,True,False,False,False
165,33,ITA,True,False,False,False
166,33,JAM,True,False,False,False
167,33,NLD,True,False,False,False
168,33,PER,True,False,False,False
169,33,RUS,True,False,False,False
170,33,UKR,True,False,False,False
171,33,USA,True,False,False,False
172,33,YEM,True,False,False,False
173,34,GBR,True,False,False,False
174,35,,False,False,False,False
175,36,AUT,False,True,False,False
176,36,BEL,False,True,False,False
