id,ics_table_id,funder
0,0,European Union [EU]
1,0,Economic and Social Research Council [GBR]
2,0,Arts and Humanities Research Council [GBR]
3,0,Engineering and Physical Sciences Research Council [GBR]
4,0,Nuffield Foundation
5,1,Innovate UK [GBR]
6,1,Biotechnology and Biological Sciences Research Council [GBR]
7,2,Medical Research Council [GBR]
8,2,National Institute for Health and Care Research [GBR]
9,2,Wellcome Trust
10,3,Biotechnology and Biological Sciences Research Council [GBR]
11,3,Economic and Social Research Council [GBR]
12,3,Department for International Development [GBR]
13,3,Bill and Melinda Gates Foundation
14,3,"Department for Environment, Food and Rural Affairs [GBR]"
15,5,British Deer Society
16,5,Arts and Humanities Research Council [GBR]
17,5,Leverhulme Trust
18,5,Ungulates Research Group
19,6,European Union [EU]
20,7,National Institute for Health and Care Research [GBR]
21,7,Wellcome Trust
22,9,Social Tech Trust
23,10,Research England
24,10,Arts Council England [GBR]
25,10,Annely Juda Gallery
26,10,Mirvish Barford Sculptures
27,10,Ambit
28,10,Hubbub
29,10,Stripe
30,10,Pangaea Sculptors foundation
31,10,Bancroft Educational trust
32,10,Norwich University
33,10,Bennington College
34,10,Jerwood Foundation
35,10,New Expressions
36,10,National Museum Wales
37,10,The Derek Williams Trust
38,10,The Colwinston Charitable Trust
39,10,"The Harris Museum & Art Gallery, Preston"
40,10,School of the Art Institute Chicago Sullivan Galleries
41,10,Modern Art Oxford
42,10,Greater Taiwan Biennale [TWN]
43,10,Drill Hall Canberra [AUS]
44,13,Leverhulme Trust
45,13,Getty Foundation
46,14,Engineering and Physical Sciences Research Council [GBR]
47,14,Innovate UK [GBR]
48,16,Economic and Social Research Council [GBR]
49,16,Innovate UK [GBR]
50,16,European Commission [EU]
51,16,Engineering and Physical Sciences Research Council [GBR]
52,17,Gilead Sciences
53,17,Medical Research Council [GBR]
54,17,Department of Health and Social Care [GBR]
55,17,Pfizer
56,17,GlaxoSmithKline
57,18,Kennel Club Charitable Trust
58,18,Dog Welfare Trust
59,18,Isaac Newton Trust
60,18,Waltham Foundation
61,21,European Commission [EU]
62,21,Greenwich Leisure
63,22,Arts Council England [GBR]
64,23,Biotechnology and Biological Sciences Research Council [GBR]
65,24,Scottish Enterprise
66,24,Qatar National Research Fund
67,25,Bill and Melinda Gates Foundation
68,25,Biotechnology and Biological Sciences Research Council [GBR]
69,25,"Department for Environment, Food and Rural Affairs [GBR]"
70,27,British Academy [GBR]
71,27,"Edmund J. Safra Center for Ethics, Harvard University"
72,27,Avaaz
73,28,Department for International Development [GBR]
74,29,Arts Council England [GBR]
75,30,European Commission [EU]
76,30,Scottish Graduate School of Arts and Humanities
77,30,Museums Galleries Scotland
78,30,Hugh Fraser Foundation
79,31,Biotechnology and Biological Sciences Research Council [GBR]
80,32,Higher Education Funding Council for England
81,33,Arts and Humanities Research Council [GBR]
82,34,Arts and Humanities Research Council [GBR]
83,34,British Academy [GBR]
84,34,Economic and Social Research Council [GBR]
85,35,Arts and Humanities Research Council [GBR]
86,36,Social Sciences and Humanities Research Council of Canada
87,36,European Parliament
88,36,Department for the Economy Northern Ireland
