,ics_table_id,funder,id
663,663,,1282
4047,4047,10) Innovate UK,7619
4047,4047,11) EPSRC,7620
4047,4047,12) CST Global,7621
4047,4047,13) Innovate UK,7622
4047,4047,14) CST Global,7624
4047,4047,14) EPSRC,7623
4047,4047,15) CST Global,7626
4047,4047,15) EPSRC,7625
4479,4479,5Rights Foundation,8467
4047,4047,9) CST Global,7618
414,414,A.G. Leventis Foundation,803
1578,1578,A2Dominion,2859
411,411,AB Vista,795
5499,5499,ABP Food Group,10244
1015,1015,ACAS,1870
78,78,ADUS Deepocean,143
2474,2474,AECOM,4545
3908,3908,"AHRC, EPSRC",7311
3908,3908,"AHRC, National Gallery",7315
1424,1424,AKL Research & Development,2570
363,363,ALPRO Foundation,726
1753,1753,ARC Medical,3237
5964,5964,ARR Craib,11141
1441,1441,ART360,2601
609,609,AURECON,1181
3164,3164,AVIVA,6010
4026,4026,AVL Powertrain,7571
3982,3982,AWE,7475
1563,1563,AWE Technical Outreach Programme,2833
1321,1321,AXA,2357
2102,2102,AbbVie,3804
2504,2504,Abbeyfield Research Foundation,4630
4846,4846,Abbott Point of Care,9154
2997,2997,Abdul Latif Jameel Poverty Action Lab,5654
1326,1326,Aberdeen City Council,2370
6212,6212,Aberdeen Council Archaeological Services,11661
5704,5704,Aberdeen Standard Investments,10586
1326,1326,Aberdeenshire Council,2368
3103,3103,Abertawe Bro Morgannwg University,5893
472,472,Abertawe Bro Morgannwg University Health Board,918
1450,1450,Abu Dhabi National Oil Company,2623
1290,1290,Abu Dhabi Urban Planning Council,2308
57,57,Acacia project,120
2547,2547,Academic Health Science Network,4698
362,362,Academic Health Science Network for the North East and North Cumbria (AHSN),723
2407,2407,Academic Health Sciences Network,4374
1964,1964,Academy of Dental Sciences,3567
3773,3773,Academy of Finland,7066
719,719,"Academy of Korean Studies, The",1371
4732,4732,Academy of Marketing,8939
4600,4600,Academy of Medical Sciences,8753
3572,3572,Actelion,6703
274,274,Action Medical Research,539
3728,3728,Action Research for the Crippled Child,6998
1439,1439,Action on Hearing Loss,2597
5041,5041,Adam Smith International,9464
4133,4133,Adrian Piper Research Archive Foundation,7800
5736,5736,Adult Online Harms,10659
3649,3649,Advance HE,6853
3660,3660,Advanced Manufacturing Research Centre,6872
546,546,Advanced Manufacturing Research Centre with Boeing at the University of Sheffield,1077
973,973,Advanced Material Development,1789
1252,1252,Advanced Propulsion Centre,2238
4338,4338,Advion,8216
257,257,Aerospace Technology Institute,504
5422,5422,Affenberg Salem,10150
890,890,Afferent Pharmaceuticals,1635
5824,5824,Afonydd Cymru,10868
2648,2648,African Parks Network,4936
3781,3781,African Union Commission,7091
4492,4492,Aga Khan Foundation,8500
4571,4571,Against Malaria Foundation,8682
2935,2935,Age Exchange Theatre Trust,5515
1782,1782,Age UK,3298
2729,2729,"Agence Nationale de la Recherche, Sciences Humaines et Sociales, France",5107
3070,3070,Agilent Technologies,5838
4465,4465,AgorIP,8430
1474,1474,Agouron Pfizer,2673
159,159,Agriculture and Horticulture Development Board [GBR],291
2753,2753,Aimia Coalition Loyalty UK,5151
393,393,Air Force Office of Scientific Research,767
2996,2996,Air Products & Chemicals,5651
393,393,Airbus,768
1569,1569,Airports Commission,2838
6333,6333,Al Ansari Exchange,11881
2977,2977,Alan Turin Institute,5600
3197,3197,Alan Turing Institute,6077
796,796,Alcohol Change UK,1494
4704,4704,Alcohol Research UK,8904
2068,2068,Alcon Eyecare,3738
62,62,Aldeburgh Music,126
2078,2078,Alexander von Humboldt Foundation,3766
