id,ics_table_id,country
0,0,ITA
1,0,SWE
2,0,NLD
3,0,IRL
4,0,GBR
5,0,JOR
6,0,LBN
7,1,GBR
8,1,NOR
9,1,USA
10,2,GBR
11,2,CHN
12,2,USA
13,2,CAN
14,2,BEL
15,2,FRA
16,2,FIN
17,2,AUS
18,2,NZL
19,2,CHL
20,3,GBR
21,3,ETH
22,5,GBR
23,6,GBR
24,7,GBR
25,9,GBR
26,9,IND
27,10,GBR
28,13,GBR
29,13,ITA
30,13,AUT
31,13,USA
32,14,GBR
33,17,GBR
34,21,NOR
35,21,SWE
36,21,DEU
37,21,GBR
38,21,FRA
39,21,NLD
40,22,GBR
41,23,CHL
42,23,MEX
43,23,COL
44,23,USA
45,23,CAN
46,23,CHN
47,23,DEU
48,24,GBR
49,24,AUT
50,24,BEL
51,24,BGR
52,24,HRV
53,24,CYP
54,24,CZE
55,24,DNK
56,24,EST
57,24,FIN
58,24,FRA
59,24,DEU
60,24,GRC
61,24,HUN
62,24,IRL
63,24,ITA
64,24,LVA
65,24,LTU
66,24,LUX
67,24,MLT
68,24,NLD
69,24,POL
70,24,PRT
71,24,ROU
72,24,SVK
73,24,SVN
74,24,ESP
75,24,SWE
76,24,QAT
77,24,BHR
78,25,GBR
79,25,USA
80,25,AUS
81,25,ETH
82,25,NGA
83,25,ZMB
84,25,COD
85,25,BEN
86,25,BFA
87,25,CMR
88,25,CIV
89,25,GAB
90,25,GHA
91,25,TGO
92,25,SLE
93,27,GBR
94,28,BGD
95,28,NGA
96,29,GBR
97,29,USA
98,32,GBR
99,33,GBR
100,33,USA
101,33,FRA
102,33,DEU
103,33,CHN
104,33,RUS
105,33,CAN
106,33,IRL
107,33,IND
108,33,ITA
109,33,PER
110,33,YEM
111,33,ESP
112,33,IRQ
113,33,HKG
114,33,BEL
115,33,NLD
116,33,UKR
117,33,AUS
118,33,JAM
119,34,GBR
120,36,GBR
121,36,AUT
122,36,BEL
123,36,BGR
124,36,HRV
125,36,CYP
126,36,CZE
127,36,DNK
128,36,EST
129,36,FIN
130,36,FRA
131,36,DEU
132,36,GRC
133,36,HUN
134,36,IRL
135,36,ITA
136,36,LVA
137,36,LTU
138,36,LUX
139,36,MLT
140,36,NLD
141,36,POL
142,36,PRT
143,36,ROU
144,36,SVK
145,36,SVN
146,36,ESP
147,36,SWE
148,38,GBR
149,38,USA
150,39,GBR
151,40,GBR
152,40,DEU
153,40,USA
154,41,GBR
155,41,USA
156,42,GBR
157,42,AUT
158,42,BEL
159,42,BGR
160,42,HRV
161,42,CYP
162,42,CZE
163,42,DNK
164,42,EST
165,42,FIN
166,42,FRA
167,42,DEU
168,42,GRC
169,42,HUN
170,42,IRL
171,42,ITA
172,42,LVA
173,42,LTU
174,42,LUX
175,42,MLT
176,42,NLD
177,42,POL
178,42,PRT
179,42,ROU
180,42,SVK
181,42,SVN
182,42,ESP
183,42,SWE
184,43,GBR
185,43,AUS
186,43,CAN
187,43,SWE
188,43,USA
189,44,GBR
190,44,FIN
191,44,AUS
192,45,PAK
193,45,GBR
194,46,GBR
195,47,GBR
196,49,GBR
197,51,GBR
198,51,IRL
199,52,GBR
200,53,GBR
201,54,CHN
202,54,GBR
203,54,RUS
204,54,IRN
205,54,USA
206,54,IND
207,56,AUT
208,56,HUN
209,56,ITA
210,56,GBR
211,57,GBR
212,59,GBR
213,59,USA
214,60,IND
215,60,RUS
216,60,GBR
217,60,UKR
218,61,GBR
219,61,USA
220,61,FRA
221,61,CAN
222,61,ITA
223,62,GBR
224,63,GBR
225,63,BEL
226,64,GBR
227,64,BEL
228,65,GBR
229,68,ARG
230,68,BEL
231,68,BRA
232,68,CAN
233,68,FRA
234,68,IND
235,68,IRL
236,68,JAM
237,68,KEN
238,68,LVA
239,68,SGP
240,68,SVN
241,68,ZAF
242,68,SWE
243,68,GBR
244,68,USA
245,70,USA
246,70,GBR
247,71,GBR
248,71,NOR
249,75,GBR
250,75,USA
251,75,CHN
252,75,JPN
253,75,CAN
254,75,ITA
255,76,GBR
256,77,GBR
257,78,GBR
258,78,MLT
259,78,USA
260,78,NZL
261,79,GBR
262,79,USA
263,79,ITA
264,79,NLD
265,79,MEX
266,81,AFG
267,81,ALB
268,81,DZA
269,81,ASM
270,81,AND
271,81,AGO
272,81,AIA
273,81,ATA
274,81,ATG
275,81,ARG
276,81,ARM
277,81,ABW
278,81,AUS
279,81,AUT
280,81,AZE
281,81,BHS
282,81,BHR
283,81,BGD
284,81,BRB
285,81,BLR
286,81,BEL
287,81,BLZ
288,81,BEN
289,81,BMU
