,All,Panel A,Panel B,UoA4,Panel C,Panel D
.,11.48,6.21,6.9,11.07,13.98,19.26
ESRC,5.67,2.28,1.18,7.24,12.52,3.87
EPSRC,4.85,1.45,16.46,1.78,2.46,1.22
AHRC,4.84,0.24,0.31,0.55,3.09,18.44
EC,4.84,3.25,7.42,2.6,5.37,3.44
NIHR,3.04,9.09,1.11,9.29,1.03,0.21
Innovate UK,2.36,1.4,7.0,0.68,1.19,0.72
LT,2.31,0.59,1.39,1.78,2.19,5.76
BA,2.08,0.51,0.1,1.91,2.59,5.41
MRC,2.01,5.78,1.18,5.6,0.49,0.29
WT,1.89,3.92,1.32,4.23,0.51,1.97
NERC,1.67,1.42,3.88,0.41,1.34,0.21
,1.46,2.12,0.83,3.14,1.05,1.9
BBSRC,1.35,3.41,1.73,0.96,0.2,0.04
EU,1.02,0.46,2.01,0.27,1.12,0.61
RSOC,0.76,0.73,1.7,0.27,0.2,0.75
NHS,0.74,1.88,0.17,2.05,0.58,0.07
Department of Health and Social Care,0.73,1.8,0.28,0.96,0.56,0.04
ACE,0.7,0.05,0.07,0.14,0.13,3.11
DEFRA,0.68,1.16,0.83,,0.54,0.11
Department for International Development,0.66,0.62,0.24,0.14,1.3,0.14
Cancer Research UK,0.53,1.56,0.52,0.55,0.02,
British Council,0.53,0.22,0.31,0.27,0.85,0.68
STFC,0.53,0.08,2.36,,0.02,0.04
Horizon 2020,0.48,0.19,0.87,0.27,0.49,0.43
SGOV,0.45,0.4,0.31,0.41,0.76,0.14
NLHF,0.43,0.03,0.07,,0.4,1.4
WGOV,0.43,0.54,0.45,0.27,0.38,0.32
BMGF,0.4,1.1,0.14,,0.2,0.04
UK Research and Innovation,0.38,0.35,0.52,0.41,0.29,0.43
Chief Scientist Office,0.35,0.97,0.14,0.68,0.16,0.07
RENG,0.35,0.11,0.31,,0.49,0.47
NUFF,0.34,0.13,,0.55,0.87,0.11
SFC,0.32,0.13,0.69,0.14,0.31,0.21
Ministry of Defence,0.3,0.13,0.69,0.41,0.22,0.21
"Department for Business, Energy and Industrial Strategy",0.29,0.11,0.38,,0.56,
Seventh Framework Programme,0.29,0.08,0.73,0.14,0.18,0.29
Joseph Rowntree Foundation,0.27,,0.03,,0.72,0.18
THF,0.27,0.7,0.07,0.96,0.16,0.07
British Heart Foundation,0.24,0.78,0.03,,0.07,
WHO,0.24,0.67,0.1,0.14,0.11,
RAE,0.24,,0.83,,0.16,0.07
UKHO,0.23,0.13,0.38,0.14,0.36,
Higher Education Funding Council for England,0.22,,0.17,,0.4,0.29
GlaxoSmithKline,0.2,0.59,0.21,0.41,,
National Institutes of Health,0.19,0.67,0.03,0.55,,
Scottish Enterprise,0.19,0.11,0.49,0.14,0.16,0.04
Big Lottery Fund,0.17,0.16,,0.27,0.29,0.18
European Regional Development Fund,0.16,0.03,0.35,,0.18,0.11
Department for Education and Skills,0.16,0.03,0.03,0.14,0.42,0.04
European Space Agency,0.14,0.03,0.45,,0.11,0.04
Pfizer,0.14,0.38,0.14,,0.02,
PHE,0.14,0.35,0.03,0.14,0.11,
Interreg,0.14,,0.35,,0.18,0.04
"Foreign, Commonwealth and Development Office",0.14,0.08,0.03,0.14,0.29,0.07
Newton Fund,0.13,0.08,0.1,,0.18,0.14
Department for Transport,0.13,0.13,0.21,0.41,0.13,0.04
Australian Research Council,0.13,0.08,0.03,0.14,0.16,0.25
AstraZeneca,0.12,0.35,0.14,0.14,,
Food Standards Agency,0.12,0.4,0.03,,0.02,
Carnegie Trust,0.12,,,,0.11,0.39
"Department for Levelling Up, Housing and Communities",0.12,0.03,0.03,0.14,0.27,0.07
Global Challenges Research Fund,0.12,0.03,0.1,,0.13,0.21
Environmental Agency,0.12,0.08,0.21,,0.16,
Education Endowment Foundation,0.12,0.11,,0.41,0.25,0.04
Invest NI,0.11,0.08,0.31,,0.04,0.04
ARUK,0.11,0.3,0.07,,0.04,
Erasmus,0.1,0.08,0.03,0.14,0.16,0.11
NCRRRAR,0.09,0.3,0.07,0.41,,
AMR,0.09,0.3,0.07,0.27,,
Higher Education Academy,0.09,,0.07,,0.18,0.11
Research Council of Norway,0.09,0.08,0.03,0.14,0.13,0.11
United Nations Children's Fund,0.09,0.08,0.03,,0.18,0.04
Versus Arthritis,0.09,0.24,0.07,0.27,0.02,
Department of Trade and Industry,0.09,,0.31,,0.07,
Open Society Foundations,0.09,,,,0.2,0.11
World Bank,0.09,,0.07,,0.22,
Social Sciences and Humanities Research Council,0.08,,,,0.13,0.18
Stroke Association,0.08,0.27,0.03,0.55,,
Esmée Fairbairn Foundation,0.08,0.03,0.03,,0.16,0.07
Diabetes UK,0.08,0.27,,,0.02,
Natural England,0.08,0.11,,,0.13,0.04
European Cooperation in Science and Technology,0.08,0.16,0.07,0.27,0.07,
European Social Fund,0.08,0.08,,0.14,0.18,
Paul Hamlyn Foundation,0.08,,,,0.16,0.14
Ministry of Justice,0.07,0.08,,0.41,0.13,0.04
