Main panel,Unit of assessment name,Number ICS,% Total ICS,FTE,Doctoral Degrees,Total Income (£bn)
A,"Agriculture, Food and Veterinary Sciences",103,1.62,1293.0,2904.16,1.03
A,"Allied Health Professions, Dentistry, Nursing and Pharmacy",393,6.18,4703.83,9203.27,1.69
A,Biological Sciences,192,3.02,2816.4900000000002,9245.3,3.9
A,Clinical Medicine,254,3.99,4878.5,12174.02,9.88
A,"Psychology, Psychiatry and Neuroscience",326,5.12,4039.77,10528.31,2.68
A,"Public Health, Health Services and Primary Care",151,2.37,2031.52,2799.07,3.23
B,Chemistry,113,1.78,1389.02,6687.21,1.55
B,Computer Science and Informatics,271,4.26,2937.61,6517.63,1.35
B,Earth Systems and Environmental Sciences,148,2.33,1771.97,4061.62,1.27
B,Engineering,391,6.15,7252.889999999999,23725.02,6.97
B,Mathematical Sciences,176,2.77,2407.01,4425.9,0.68
B,Physics,169,2.66,2213.79,6441.79,2.51
C,Anthropology and Development Studies,77,1.21,613.74,1479.47,0.17
C,Archaeology,59,0.93,496.84000000000003,1189.26,0.21
C,"Architecture, Built Environment and Planning",127,2.0,1496.83,2451.78,0.33
C,Business and Management Studies,504,7.92,6633.5199999999995,9199.56,0.52
C,Economics and Econometrics,88,1.38,911.02,1426.51,0.19
C,Education,230,3.62,2168.38,6154.92,0.39
C,Geography and Environmental Studies,180,2.83,1854.58,3050.5,0.58
C,Law,226,3.55,2493.81,3128.52,0.17
C,Politics and International Studies,166,2.61,1961.82,3412.97,0.26
C,Social Work and Social Policy,222,3.49,2105.2400000000002,2750.7799999999997,0.37
C,Sociology,107,1.68,1103.54,1996.95,0.27
C,"Sport and Exercise Sciences, Leisure and Tourism",160,2.52,1452.92,1880.82,0.15
D,Area Studies,57,0.9,532.47,888.1,0.08
D,"Art and Design: History, Practice and Theory",262,4.12,2566.4,2937.07,0.24
D,Classics,48,0.75,448.43,793.16,0.06
D,"Communication, Cultural and Media Studies, Library and Information Management",145,2.28,1258.3700000000001,1579.3,0.09
D,English Language and Literature,273,4.29,2671.31,4549.14,0.14
D,History,240,3.77,2340.66,3772.89,0.24
D,Modern Languages and Linguistics,154,2.42,1556.05,2923.5699999999997,0.16
D,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",196,3.08,1375.22,2199.78,0.08
D,Philosophy,85,1.34,692.0,1319.64,0.1
D,Theology and Religious Studies,68,1.07,505.12,1722.84,0.06
