topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('health', 0.23417822)","('methodology', 0.21367022)","('concept', 0.20837224)","('service', 0.16933835)","('individual', 0.16904144)","('examine', 0.15947638)","('educational', 0.15194738)","('ethical', 0.15019548)","('gender', 0.15019426)","('act', 0.1472555)"
0,"('catchment', 0.38073567)","('ecological', 0.36711055)","('environment', 0.35148287)","('groundwater', 0.34589863)","('wetland', 0.34048128)","('ecosystem', 0.33874267)","('climate', 0.3350886)","('environmental', 0.32527757)","('flood', 0.29941183)","('biodiversity', 0.29875195)"
1,"('banking', 0.36665177)","('macroeconomic', 0.35647535)","('finance', 0.3431291)","('regulatory', 0.3006449)","('portfolio', 0.29673392)","('bank', 0.2870226)","('regulation', 0.2847029)","('investor', 0.28442585)","('equity', 0.2827713)","('investment', 0.273716)"
2,"('criminal', 0.3164569)","('homicide', 0.30536208)","('crime', 0.30493766)","('tribunal', 0.30170554)","('police', 0.30084947)","('justice', 0.2889011)","('offence', 0.28189594)","('offender', 0.2681739)","('officer', 0.26128614)","('violence', 0.25757432)"
3,"('curatorial', 0.35790205)","('sculpture', 0.33700883)","('artistic', 0.3367207)","('artwork', 0.3229438)","('curator', 0.32079828)","('craft', 0.31307918)","('exhibition', 0.31198868)","('exhibit', 0.31192487)","('art', 0.31024602)","('modernism', 0.30851576)"
4,"('athletic', 0.48488945)","('sport', 0.44664943)","('athlete', 0.44121352)","('paralympic', 0.38434362)","('endurance', 0.35651088)","('competitive', 0.33215618)","('olympic', 0.32432356)","('soccer', 0.31376666)","('rugby', 0.30854416)","('competition', 0.29826793)"
5,"('energy', 0.30042636)","('building', 0.2937219)","('environment', 0.28776315)","('heating', 0.28292748)","('housing', 0.26895398)","('efficiency', 0.2502172)","('carbon', 0.2427018)","('thermal', 0.24152425)","('insulation', 0.22710077)","('environmental', 0.22699071)"
6,"('musician', 0.47388664)","('music', 0.4537866)","('musical', 0.42815247)","('orchestra', 0.4107354)","('orchestral', 0.4072196)","('improvisation', 0.4071139)","('compositional', 0.40302008)","('instrument', 0.4004391)","('composer', 0.39713198)","('composition', 0.39226553)"
7,"('entrepreneurship', 0.40803263)","('entrepreneur', 0.40078795)","('innovation', 0.39324498)","('entrepreneurial', 0.38477296)","('organisational', 0.3705558)","('enterprise', 0.36361665)","('innovative', 0.3450578)","('smes', 0.2912904)","('strategic', 0.28796926)","('industrial', 0.2855975)"
8,"('archaeology', 0.48740244)","('neolithic', 0.48101774)","('archaeological', 0.44859478)","('excavation', 0.4391929)","('archaeologist', 0.41166508)","('prehistoric', 0.3440381)","('landscape', 0.32925633)","('medieval', 0.3190738)","('legacy', 0.30312926)","('burial', 0.27475834)"
9,"('educator', 0.4449935)","('teacher', 0.41910657)","('classroom', 0.38501716)","('teach', 0.37638167)","('curriculum', 0.37181586)","('pedagogical', 0.35350412)","('mentor', 0.31139556)","('pedagogy', 0.31099647)","('learner', 0.3027783)","('educational', 0.30074883)"
10,"('nursing', 0.38157555)","('healthcare', 0.34532103)","('hospice', 0.3449435)","('nurse', 0.33697808)","('carers', 0.3286994)","('patient', 0.31410646)","('clinical', 0.30079865)","('hospital', 0.28648072)","('health', 0.28011754)","('medical', 0.2783565)"
11,"('poet', 0.51858175)","('poetry', 0.4839893)","('poetics', 0.4227819)","('poem', 0.41731364)","('literature', 0.38490742)","('writer', 0.33892608)","('poetic', 0.33346877)","('literary', 0.33317447)","('manuscript', 0.26713058)","('anthology', 0.2522335)"
12,"('childcare', 0.39620733)","('adoption', 0.3717781)","('poverty', 0.33577058)","('adopt', 0.33458707)","('welfare', 0.31749684)","('parent', 0.3129667)","('childhood', 0.307325)","('custody', 0.30605745)","('deprivation', 0.3039968)","('parental', 0.30231893)"
