topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('health', 0.28816098)","('environment', 0.21940437)","('care', 0.20634745)","('individual', 0.18119702)","('review', 0.1657142)","('young', 0.16023585)","('agency', 0.15791991)","('contribution', 0.14963451)","('service', 0.14858612)","('risk', 0.14777689)"
0,"('fuel', 0.27234226)","('efficiency', 0.2687807)","('energy', 0.26349133)","('industrial', 0.26248515)","('building', 0.2614096)","('engineer', 0.24413353)","('carbon', 0.23345928)","('engineering', 0.23263466)","('gas', 0.21034706)","('engine', 0.20833528)"
1,"('educator', 0.45553404)","('teacher', 0.43199056)","('pedagogical', 0.41702825)","('teach', 0.40122503)","('curriculum', 0.39445335)","('classroom', 0.38556135)","('pedagogy', 0.37016273)","('educational', 0.36549905)","('literacy', 0.3377784)","('learner', 0.3366665)"
2,"('police', 0.36867717)","('enforcement', 0.3611343)","('officer', 0.34660268)","('criminal', 0.33950758)","('tribunal', 0.31232333)","('crime', 0.30976468)","('judicial', 0.29987568)","('offence', 0.28639644)","('justice', 0.27703828)","('offender', 0.27343282)"
3,"('athlete', 0.44517362)","('compete', 0.39986938)","('sport', 0.3831218)","('rugby', 0.3705799)","('athletics', 0.3684647)","('paralympic', 0.34218848)","('paralympics', 0.3344776)","('coach', 0.3262251)","('olympic', 0.31935623)","('league', 0.29770696)"
4,"('curatorial', 0.4107089)","('exhibition', 0.36614013)","('curator', 0.3643067)","('museum', 0.36054233)","('exhibit', 0.3509402)","('curated', 0.31399667)","('contemporary', 0.2818906)","('craft', 0.27146596)","('artwork', 0.25627828)","('collection', 0.25046587)"
5,"('concert', 0.43973422)","('musician', 0.42489073)","('music', 0.4156416)","('musical', 0.40101832)","('choral', 0.36779505)","('performer', 0.36613673)","('choir', 0.35528496)","('orchestra', 0.34527898)","('composer', 0.33987886)","('instrument', 0.33708256)"
6,"('oncology', 0.40037924)","('oncologist', 0.33798528)","('prostate', 0.32302472)","('cancer', 0.30972487)","('chemotherapy', 0.30200326)","('radiotherapy', 0.2718951)","('clinician', 0.26830375)","('tumour', 0.2648296)","('clinical', 0.25955278)","('lifeguide', 0.23238976)"
7,"('enterprise', 0.41368335)","('entrepreneurship', 0.40039825)","('entrepreneur', 0.39228135)","('entrepreneurial', 0.37458313)","('organisational', 0.33450955)","('smes', 0.30730727)","('strategic', 0.30567384)","('corporate', 0.29198262)","('firm', 0.28833365)","('sme', 0.28441626)"
8,"('adoption', 0.43476802)","('childcare', 0.42626345)","('adopt', 0.4037073)","('child', 0.35076177)","('childhood', 0.34558588)","('parent', 0.33807465)","('parental', 0.32717934)","('nursery', 0.318996)","('youth', 0.26617354)","('family', 0.22360483)"
9,"('maternity', 0.54608417)","('obstetrician', 0.5087225)","('postpartum', 0.5026367)","('childbirth', 0.49755338)","('neonatal', 0.484563)","('midwifery', 0.4820096)","('fetal', 0.4553464)","('midwife', 0.44998407)","('newborn', 0.44042277)","('maternal', 0.44028178)"
