topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('clinical', 0.44903624)","('healthcare', 0.44699037)","('medical', 0.43782118)","('hospital', 0.4008915)","('software', 0.3591897)","('patient', 0.3555256)","('health', 0.35509837)","('service', 0.35394812)","('application', 0.35154456)","('platform', 0.33738834)"
0,"('vaccine', 0.5798474)","('vaccination', 0.56620264)","('vaccinate', 0.48225713)","('immunisation', 0.45278707)","('influenza', 0.42130297)","('outbreak', 0.39007854)","('infectious', 0.37272286)","('pandemic', 0.36727744)","('epidemic', 0.3652197)","('ebola', 0.36408195)"
1,"('biodiversity', 0.60398364)","('ecology', 0.54688907)","('wildlife', 0.5352698)","('ecological', 0.5275257)","('iucn', 0.5154443)","('conservation', 0.50566125)","('ecosystem', 0.50559294)","('habitat', 0.48882395)","('forestry', 0.47593474)","('rainforest', 0.45741388)"
2,"('ambulance', 0.503649)","('hospital', 0.47581792)","('paramedic', 0.45562238)","('healthcare', 0.44286948)","('medical', 0.42483264)","('medic', 0.40357375)","('clinical', 0.39598927)","('medicine', 0.39521343)","('patient', 0.394305)","('physician', 0.38812125)"
3,"('pharmaceutical', 0.4426032)","('pharma', 0.4222296)","('venomtech', 0.38503835)","('biotechnology', 0.37498835)","('fluorescence', 0.35102406)","('drug', 0.3401637)","('antibody', 0.33507144)","('astex', 0.33157462)","('molecular', 0.3279982)","('cancer', 0.32202274)"
4,"('flood', 0.54362756)","('catchment', 0.4213072)","('risk', 0.41019583)","('smartwater', 0.37717405)","('disaster', 0.34805167)","('environment', 0.34181333)","('river', 0.33419824)","('tsunami', 0.33057344)","('mitigation', 0.32739818)","('infrastructure', 0.3254209)"
5,"('infrastructure', 0.47347498)","('electricity', 0.46093017)","('renewable', 0.45830643)","('electrical', 0.4214081)","('photovoltaic', 0.4113148)","('energy', 0.40835103)","('electric', 0.3911767)","('grid', 0.38632244)","('sustainability', 0.3517544)","('environment', 0.34592894)"
6,"('manufacturing', 0.5051261)","('production', 0.4635642)","('manufacture', 0.4479103)","('polymer', 0.44371426)","('biodegradable', 0.42273736)","('industrial', 0.42171)","('manufacturer', 0.41657555)","('catalyst', 0.41179267)","('chemical', 0.40924412)","('perspex', 0.37123677)"
7,"('fishery', 0.53543913)","('ecological', 0.49871385)","('marine', 0.48097873)","('ecosystem', 0.479146)","('seabird', 0.47736502)","('sea', 0.4755136)","('habitat', 0.47450215)","('biodiversity', 0.46486)","('reef', 0.45870578)","('aquaculture', 0.455209)"
8,"('cancer', 0.4062181)","('radiotherapy', 0.39470023)","('chemotherapy', 0.38365513)","('prostate', 0.34397402)","('malignancy', 0.3390574)","('clinician', 0.32794517)","('clinical', 0.31818873)","('healthcare', 0.28979695)","('treatment', 0.28785822)","('metastasis', 0.2780148)"
9,"('obstetrician', 0.58555603)","('maternity', 0.5588556)","('midwifery', 0.53932655)","('preeclampsia', 0.50782967)","('midwife', 0.49609786)","('maternal', 0.4930105)","('childbirth', 0.46082574)","('neonatal', 0.45790154)","('perinatal', 0.4440682)","('pregnancy', 0.42376378)"
10,"('cardiology', 0.522965)","('cardiac', 0.49562886)","('cardiovascular', 0.4932528)","('myocardial', 0.43344462)","('coronary', 0.41340908)","('medical', 0.373306)","('cardiomyopathy', 0.36997265)","('arrhythmic', 0.36806852)","('clinical', 0.3597386)","('healthcare', 0.3543957)"
11,"('eyecare', 0.6791675)","('retinal', 0.5423991)","('cataract', 0.5075665)","('blindness', 0.49204594)","('retinopathy', 0.4910241)","('optometrist', 0.4895879)","('eye', 0.48489526)","('ocular', 0.48435447)","('ophthalmic', 0.46596497)","('corneal', 0.44516048)"
12,"('agriculture', 0.62379146)","('crop', 0.4430157)","('produce', 0.4414117)","('vegetable', 0.43072766)","('farmer', 0.42995888)","('farm', 0.41367945)","('wheat', 0.4125387)","('potato', 0.40168536)","('pesticide', 0.3907376)","('pest', 0.38112825)"
13,"('educator', 0.51262295)","('educational', 0.48342288)","('outreach', 0.4749249)","('teacher', 0.47190756)","('curriculum', 0.4324953)","('science', 0.42724586)","('student', 0.41433412)","('astronomy', 0.4028231)","('school', 0.39779234)","('teach', 0.39776117)"
14,"('climate', 0.5272305)","('greenhouse', 0.38482428)","('environmental', 0.34970492)","('methane', 0.34009114)","('carbon', 0.333992)","('emission', 0.3327205)","('agreement', 0.318056)","('ipcc', 0.3176489)","('legislation', 0.30486888)","('temperature', 0.30460456)"
15,"('optical', 0.6202873)","('laser', 0.6200426)","('photonics', 0.50140023)","('fabrication', 0.47031236)","('optic', 0.42092884)","('manufacturing', 0.4204841)","('infrared', 0.40766704)","('wavelength', 0.3810042)","('manufacture', 0.3720119)","('fibre', 0.36706358)"
16,"('suicide', 0.4819193)","('depression', 0.36570466)","('distress', 0.36543763)","('psychiatric', 0.3615679)","('health', 0.36144215)","('charity', 0.3287071)","('psychiatrist', 0.31904137)","('harm', 0.31001583)","('depressant', 0.30349836)","('healthcare', 0.30344674)"
17,"('drilling', 0.49577305)","('mining', 0.45512033)","('petroleum', 0.454266)","('exploration', 0.4502309)","('shale', 0.44073015)","('geological', 0.3964192)","('drill', 0.3597867)","('copper', 0.35527736)","('offshore', 0.35302663)","('pipeline', 0.34656882)"
