topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('software', 0.2875318)","('industrial', 0.27275294)","('engineering', 0.269098)","('laboratory', 0.25235698)","('generate', 0.22334409)","('production', 0.22280076)","('implement', 0.20605144)","('monitoring', 0.20160156)","('operation', 0.19728959)","('service', 0.19637677)"
0,"('insecticide', 0.4215076)","('pesticide', 0.41470712)","('pollination', 0.40205663)","('agriculture', 0.40003407)","('agricultural', 0.38190323)","('pest', 0.370458)","('garden', 0.35038254)","('crop', 0.34074482)","('bee', 0.3391592)","('biodiversity', 0.32504976)"
1,"('pharmaceutical', 0.35546556)","('molecular', 0.29607767)","('molecule', 0.2945065)","('pharma', 0.29264995)","('fluorescence', 0.285334)","('microscopy', 0.27855444)","('ligand', 0.27144367)","('microscope', 0.26085904)","('drug', 0.24635562)","('cell', 0.24076474)"
2,"('cardiac', 0.4746527)","('cardiovascular', 0.47421175)","('cardiology', 0.46149316)","('cardiologist', 0.3734302)","('myocardial', 0.36680153)","('cpr', 0.32171327)","('coronary', 0.31799218)","('arrhythmia', 0.30933446)","('heart', 0.3091091)","('cholesterol', 0.25036693)"
3,"('nursing', 0.36046624)","('nurse', 0.3360545)","('hospital', 0.327487)","('ambulance', 0.32654393)","('paramedic', 0.2941177)","('healthcare', 0.28921646)","('carers', 0.26960436)","('mortality', 0.2559576)","('patient', 0.25284472)","('clinical', 0.2509009)"
4,"('biodiversity', 0.5203321)","('wildlife', 0.47460812)","('ecology', 0.4730252)","('ecological', 0.47121444)","('conservation', 0.4162295)","('iucn', 0.40523487)","('habitat', 0.39202487)","('ecosystem', 0.38832614)","('forestry', 0.3807707)","('extinction', 0.37084883)"
5,"('oncology', 0.40368736)","('cancer', 0.35845596)","('chemotherapy', 0.31706953)","('tumour', 0.29113948)","('clinical', 0.2279673)","('radiotherapy', 0.22642477)","('mortality', 0.22511315)","('clinician', 0.2175444)","('breast', 0.21447839)","('healthcare', 0.19321114)"
6,"('osteoarthritis', 0.3367955)","('pain', 0.3314741)","('physiotherapy', 0.2695129)","('arthritis', 0.26860213)","('osteopath', 0.2534519)","('chronic', 0.25057006)","('orthopaedic', 0.23969506)","('spinal', 0.22709373)","('knee', 0.21686359)","('clinical', 0.20850842)"
7,"('astronomy', 0.37387812)","('higgs', 0.34875047)","('lhcb', 0.3227923)","('observatory', 0.3039986)","('nasa', 0.30105335)","('astrophysics', 0.2987156)","('cern', 0.29861248)","('astronomical', 0.29858768)","('telescope', 0.28713664)","('universe', 0.2770442)"
8,"('maternity', 0.52278256)","('childbirth', 0.484608)","('obstetrician', 0.48344)","('midwifery', 0.45762637)","('fetal', 0.4177805)","('maternal', 0.4167279)","('midwife', 0.4114288)","('neonatal', 0.39458328)","('perinatal', 0.3788104)","('pregnancy', 0.36426863)"
9,"('renewables', 0.41769773)","('renewable', 0.38801572)","('electricity', 0.33613086)","('generator', 0.33104956)","('infrastructure', 0.2898175)","('electrical', 0.2862985)","('grid', 0.27934545)","('turbine', 0.27544445)","('electric', 0.27190048)","('substation', 0.26682723)"
10,"('fishery', 0.50454795)","('ecosystem', 0.43584168)","('ecological', 0.42369008)","('reef', 0.40932363)","('fishing', 0.40423292)","('marine', 0.38741666)","('aquaculture', 0.38674596)","('biodiversity', 0.3842411)","('fish', 0.36269864)","('habitat', 0.3595197)"
11,"('waste', 0.397052)","('landfill', 0.3879661)","('wastewater', 0.3630619)","('biomass', 0.34257722)","('carbon', 0.33464342)","('biodegradable', 0.3103351)","('bioenergy', 0.30137798)","('environmental', 0.2853608)","('recycle', 0.273948)","('catalytic', 0.2675269)"
12,"('dietary', 0.44064412)","('nutrition', 0.43709284)","('obesity', 0.43435577)","('diet', 0.4193474)","('obese', 0.37764275)","('nutritional', 0.3634113)","('diabetes', 0.32351813)","('fat', 0.31804395)","('health', 0.3146077)","('malnutrition', 0.3133381)"
13,"('aerodynamics', 0.3927057)","('powertrain', 0.39264074)","('engine', 0.34746432)","('turbine', 0.34705347)","('exhaust', 0.3421612)","('aerodynamic', 0.3402406)","('compressor', 0.29938734)","('automotive', 0.27982455)","('combustion', 0.2766555)","('motor', 0.2510319)"
14,"('climate', 0.44704866)","('greenhouse', 0.31899077)","('carbon', 0.31860274)","('methane', 0.31748253)","('atmospheric', 0.25079888)","('temperature', 0.24587068)","('arctic', 0.23982465)","('atmosphere', 0.23549108)","('weather', 0.2285921)","('ipcc', 0.22585735)"
15,"('eyecare', 0.5232167)","('ophthalmology', 0.48590064)","('ophthalmologist', 0.4722962)","('cataract', 0.43668562)","('retinal', 0.43599004)","('blindness', 0.42005196)","('ophthalmic', 0.41771072)","('retinopathy', 0.4153629)","('optometrist', 0.4082318)","('ocular', 0.38902992)"
16,"('hiv', 0.53486407)","('antiretroviral', 0.48121288)","('hivst', 0.48091558)","('clinical', 0.23197028)","('prophylaxis', 0.22207299)","('cryptococcal', 0.22087896)","('healthcare', 0.21409133)","('infect', 0.2113224)","('mdr', 0.20773178)","('etravirine', 0.2076613)"
17,"('machining', 0.38579798)","('mechanical', 0.3379407)","('automotive', 0.29978055)","('turbine', 0.2823184)","('engine', 0.2641471)","('steel', 0.26333964)","('industrial', 0.25488096)","('aerospace', 0.25121585)","('titanium', 0.24340586)","('carbide', 0.24110216)"
18,"('telecommunication', 0.49155703)","('bandwidth', 0.48844314)","('broadband', 0.46506363)","('tcp', 0.44373816)","('networking', 0.43861377)","('packet', 0.40992403)","('infrastructure', 0.40073854)","('telecom', 0.3859889)","('network', 0.38403058)","('connectivity', 0.37182832)"
19,"('health', 0.3253032)","('depression', 0.32222134)","('disability', 0.316041)","('psychotherapy', 0.31288797)","('therapist', 0.3119649)","('therapy', 0.30895782)","('bipolar', 0.29490823)","('clinical', 0.27975187)","('healthcare', 0.27877557)","('psychologist', 0.27749866)"
20,"('genomics', 0.38166344)","('genetic', 0.37007847)","('genomic', 0.3450595)","('genetics', 0.31791425)","('diagnosis', 0.31278133)","('gene', 0.30815053)","('genome', 0.30458716)","('clinical', 0.27957088)","('syndrome', 0.2784607)","('disease', 0.257699)"
21,"('formulation', 0.3839966)","('manufacturing', 0.3650653)","('pharmaceutical', 0.36091453)","('polymer', 0.3393969)","('industrial', 0.2886592)","('manufacture', 0.26789644)","('production', 0.26419878)","('processing', 0.25418517)","('solvent', 0.25127673)","('astrazeneca', 0.24936345)"
22,"('nicotine', 0.48245305)","('tobacco', 0.43543813)","('cigarette', 0.39502305)","('smoking', 0.3909135)","('smoker', 0.35759115)","('smoke', 0.29752555)","('vaping', 0.27587628)","('addiction', 0.2745325)","('prevention', 0.26334777)","('prevalence', 0.25939655)"
23,"('stroke', 0.4577909)","('rehabilitation', 0.36677328)","('disability', 0.30192488)","('clinical', 0.24423626)","('recovery', 0.24147806)","('hospital', 0.23951055)","('healthcare', 0.22820884)","('neurological', 0.22779796)","('impairment', 0.22629118)","('clinician', 0.22392076)"
24,"('mri', 0.34971184)","('imagers', 0.34852207)","('radiology', 0.34746033)","('radiologist', 0.3279731)","('scan', 0.3209594)","('scanner', 0.31101543)","('medical', 0.30895388)","('segmentation', 0.30576423)","('procedure', 0.26771054)","('software', 0.267381)"
25,"('wastewater', 0.4242477)","('catchment', 0.39067215)","('groundwater', 0.3627188)","('irrigation', 0.35628057)","('sewage', 0.33067447)","('filter', 0.3038466)","('basin', 0.29549572)","('wetland', 0.2925643)","('environment', 0.28989542)","('environmental', 0.287382)"
26,"('pandemic', 0.4881026)","('covid', 0.48170722)","('covidsurg', 0.45123392)","('coronavirus', 0.4457556)","('outbreak', 0.36821818)","('influenza', 0.35925648)","('epidemic', 0.353202)","('flu', 0.32741737)","('epidemiological', 0.32458782)","('clinical', 0.29704636)"
27,"('malaria', 0.4774142)","('malarial', 0.4604686)","('mosquito', 0.37858796)","('insecticide', 0.37202245)","('antimalarial', 0.3249406)","('dengue', 0.26494366)","('parasite', 0.263085)","('faso', 0.25116393)","('uganda', 0.2445009)","('saharan', 0.2405707)"
28,"('cybersecurity', 0.57833505)","('security', 0.39790052)","('cybercrime', 0.38409966)","('cyber', 0.3511696)","('attack', 0.3058645)","('infrastructure', 0.2944243)","('protect', 0.29109743)","('secure', 0.2815646)","('vulnerability', 0.27954262)","('cyberstalking', 0.27014583)"
29,"('vaccine', 0.5365647)","('vaccination', 0.50928736)","('vaccinate', 0.44367456)","('immunisation', 0.40751827)","('immunization', 0.4043659)","('influenza', 0.33021963)","('outbreak', 0.28029287)","('meningococcal', 0.26168296)","('flu', 0.26067874)","('pneumonia', 0.25642738)"
30,"('concrete', 0.43352145)","('building', 0.354417)","('construction', 0.3328358)","('masonry', 0.32639745)","('structural', 0.297643)","('strengthen', 0.29520246)","('mortar', 0.2795033)","('bridge', 0.27925235)","('maintenance', 0.27905434)","('steel', 0.27844834)"
31,"('pollution', 0.4870817)","('pollutant', 0.36902344)","('aerosol', 0.34485865)","('diesel', 0.32131466)","('atmospheric', 0.30222425)","('air', 0.29216027)","('airborne', 0.28639665)","('particulate', 0.2754693)","('environmental', 0.27529526)","('exhaust', 0.27493247)"
32,"('camera', 0.43073338)","('vision', 0.40326682)","('recognition', 0.3753425)","('visual', 0.34683466)","('anyvision', 0.32226795)","('biometrics', 0.31888807)","('biometric', 0.31829458)","('surveillance', 0.31215462)","('cctv', 0.3084976)","('view', 0.30647624)"
33,"('educational', 0.3512174)","('curriculum', 0.3390103)","('classroom', 0.29439378)","('outreach', 0.28239542)","('student', 0.26032323)","('participation', 0.2525264)","('tutor', 0.2522659)","('engineering', 0.2492931)","('qualification', 0.24169964)","('teach', 0.24138866)"
34,"('health', 0.44976836)","('wellbeing', 0.2902427)","('disability', 0.28729868)","('nhse', 0.24633902)","('environment', 0.21688893)","('volunteer', 0.20761499)","('physical', 0.19862702)","('living', 0.19553435)","('housing', 0.19341767)","('care', 0.19322821)"
35,"('diabetes', 0.45210388)","('diabetic', 0.37848407)","('prediabetes', 0.37822655)","('insulin', 0.37419412)","('glucose', 0.2763851)","('pancreas', 0.22785625)","('islet', 0.2040393)","('genetic', 0.19609198)","('clinician', 0.18538243)","('healthcare', 0.18230204)"
