topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('chemotherapy', 0.38824785)","('cancer', 0.32086697)","('lymphoma', 0.30004227)","('tumour', 0.2994246)","('radiotherapy', 0.28993416)","('clinical', 0.28771472)","('clinician', 0.24224064)","('medical', 0.22604232)","('treatment', 0.22354294)","('patient', 0.21845195)"
0,"('optimisation', 0.2845957)","('feature', 0.2826903)","('optimise', 0.25590816)","('software', 0.25535855)","('processing', 0.23343042)","('methodology', 0.22463687)","('dynamic', 0.22411337)","('engineering', 0.22183277)","('operation', 0.1984538)","('performance', 0.19443206)"
1,"('biodiversity', 0.5061944)","('ecological', 0.49430946)","('wildlife', 0.49251255)","('habitat', 0.43405437)","('ecosystem', 0.4299324)","('conservation', 0.40715277)","('climate', 0.34521765)","('landscape', 0.33101237)","('environmental', 0.31237862)","('diversity', 0.29863152)"
2,"('dementia', 0.38736933)","('carers', 0.28833997)","('nursing', 0.27082455)","('disability', 0.26683196)","('healthcare', 0.2643972)","('qualitative', 0.2632318)","('health', 0.24335593)","('care', 0.24220313)","('clinical', 0.23120469)","('cognitive', 0.21884754)"
3,"('pharmacy', 0.3692767)","('medicine', 0.31195238)","('healthcare', 0.30884397)","('medication', 0.30635628)","('pharmacist', 0.3021093)","('hospital', 0.29677057)","('prescribers', 0.27391392)","('medical', 0.27290887)","('clinical', 0.2681226)","('adherence', 0.26451337)"
4,"('cardiovascular', 0.42787656)","('cardiology', 0.4028921)","('cardiac', 0.40222836)","('myocardial', 0.3117356)","('cpr', 0.29959324)","('coronary', 0.2842584)","('hypertension', 0.27752683)","('heart', 0.2506148)","('clinical', 0.22590859)","('infarction', 0.22254917)"
5,"('maternity', 0.4720387)","('fetal', 0.4478538)","('childbirth', 0.44472486)","('midwifery', 0.4186194)","('neonatal', 0.40270686)","('maternal', 0.4000839)","('prenatal', 0.37467343)","('pregnancy', 0.37128627)","('perinatal', 0.3668073)","('placental', 0.36092365)"
6,"('osteoarthritis', 0.316123)","('physiotherapy', 0.27819932)","('pain', 0.2781151)","('osteopath', 0.25818214)","('arthritis', 0.2520283)","('orthopaedic', 0.24341309)","('disability', 0.23966634)","('chronic', 0.23880436)","('knee', 0.22107029)","('clinical', 0.21658438)"
7,"('exoplanets', 0.44887695)","('exoplanet', 0.41200766)","('astronomy', 0.3970578)","('galactic', 0.35328972)","('planet', 0.35148376)","('lhc', 0.34673613)","('astronomical', 0.32996327)","('astrophysics', 0.3293872)","('lhcb', 0.31681383)","('higgs', 0.3047101)"
8,"('vaccine', 0.5405324)","('vaccination', 0.51259494)","('vaccinate', 0.44165376)","('immunisation', 0.4243868)","('pneumonia', 0.3171221)","('influenza', 0.29439145)","('pneumococcal', 0.29233837)","('infectious', 0.28605202)","('meningococcal', 0.28275704)","('covid', 0.26515377)"
9,"('stroke', 0.42561492)","('rehabilitation', 0.3264576)","('disability', 0.2864769)","('telemedicine', 0.24927111)","('clinical', 0.23449537)","('neurological', 0.23086745)","('hospital', 0.22733013)","('healthcare', 0.22583824)","('recovery', 0.21092358)","('impairment', 0.20515028)"
10,"('ophthalmology', 0.5044975)","('retinal', 0.43693703)","('cataract', 0.41795993)","('optometrist', 0.40588343)","('ophthalmic', 0.39719284)","('ocular', 0.38698992)","('macular', 0.37318385)","('blindness', 0.36409524)","('corneal', 0.35986412)","('glaucoma', 0.33472145)"
11,"('diabetes', 0.46740016)","('diabetic', 0.39549577)","('insulin', 0.39332688)","('prediabetes', 0.38573572)","('glucose', 0.28505826)","('pancreas', 0.24229404)","('islet', 0.20094863)","('genetic', 0.18771198)","('clinical', 0.18236051)","('health', 0.1771183)"
12,"('malaria', 0.5242184)","('mosquito', 0.39543897)","('insecticide', 0.3664253)","('antimalarial', 0.34563673)","('parasite', 0.30503774)","('dengue', 0.2987451)","('endemic', 0.2938121)","('saharan', 0.2934447)","('tropical', 0.2593201)","('regimen', 0.2517875)"
13,"('food', 0.25340658)","('regulatory', 0.25047374)","('systematic', 0.24867994)","('safety', 0.2483536)","('meat', 0.24505393)","('health', 0.23130426)","('livestock', 0.23118885)","('chicken', 0.23037371)","('toxicology', 0.22763465)","('agriculture', 0.2264739)"
14,"('portfolio', 0.30413464)","('finance', 0.28510895)","('stochastic', 0.26612112)","('market', 0.25070426)","('risk', 0.250515)","('investment', 0.24296053)","('pricing', 0.22564104)","('regression', 0.22471216)","('statistical', 0.20983225)","('demand', 0.20654401)"
15,"('oncology', 0.38033158)","('chemotherapy', 0.31104946)","('cancer', 0.30898088)","('radiotherapy', 0.30527872)","('tumour', 0.2514301)","('metastasis', 0.23861158)","('breast', 0.23697971)","('clinical', 0.18426594)","('tamoxifen', 0.17547241)","('survivor', 0.1650418)"
16,"('archaeology', 0.34377122)","('archaeological', 0.330668)","('digitisation', 0.30200437)","('excavation', 0.2889728)","('artefact', 0.28559816)","('museum', 0.26382843)","('thesaurus', 0.259533)","('exhibition', 0.23227036)","('vocabulary', 0.22049452)","('reconstruction', 0.21899655)"
17,"('obesity', 0.42866364)","('diet', 0.38053712)","('nutrition', 0.37672246)","('sugar', 0.37666762)","('dietary', 0.3680774)","('obese', 0.36449355)","('diabetes', 0.36182904)","('metabolic', 0.31109357)","('consumption', 0.3108365)","('fat', 0.30033544)"
18,"('antibiotic', 0.4742191)","('antimicrobial', 0.41918644)","('penicillin', 0.37435848)","('microbiology', 0.36219516)","('prescription', 0.35114452)","('pathogen', 0.31794363)","('bacterial', 0.3077318)","('infection', 0.30640134)","('medicine', 0.29237926)","('bacteria', 0.28637856)"
19,"('hiv', 0.53315306)","('hivst', 0.47487235)","('antiretroviral', 0.44741362)","('condom', 0.309261)","('clinical', 0.2335012)","('prevalence', 0.22863808)","('healthcare', 0.22486246)","('prophylaxis', 0.21851847)","('infect', 0.21455708)","('cryptococcal', 0.20781313)"
20,"('prostate', 0.4297496)","('chemotherapy', 0.23611978)","('radiotherapy', 0.23260996)","('cancer', 0.22602707)","('androgen', 0.21436203)","('metastatic', 0.19368696)","('clinical', 0.19042549)","('tumour', 0.17841956)","('men', 0.17652059)","('psa', 0.17156015)"
21,"('oncology', 0.35736984)","('colonoscopy', 0.33531973)","('colorectal', 0.29705283)","('chemotherapy', 0.29644126)","('cancer', 0.2958007)","('pccrc', 0.24825227)","('adenoma', 0.22023702)","('colon', 0.22011654)","('clinical', 0.21919397)","('aspirin', 0.1812617)"
22,"('dental', 0.47933695)","('dentist', 0.4284912)","('tooth', 0.37327164)","('teeth', 0.3420195)","('caries', 0.3380031)","('toothbrushing', 0.33016774)","('toothpaste', 0.3298623)","('periodontal', 0.30929366)","('oral', 0.30666196)","('periodontitis', 0.28622702)"
23,"('asthma', 0.43566903)","('inhaler', 0.41092443)","('asthmatic', 0.40596467)","('inhale', 0.3772514)","('respiratory', 0.35948104)","('lung', 0.33239108)","('copd', 0.3301798)","('pulmonary', 0.32818246)","('breathlessness', 0.29035014)","('emphysema', 0.28629065)"
24,"('molecular', 0.36491984)","('quantum', 0.35816097)","('molecule', 0.3392539)","('chemistry', 0.31869358)","('inorganic', 0.2834968)","('biological', 0.28243855)","('biology', 0.28012866)","('biota', 0.27052802)","('spectroscopy', 0.26295993)","('scientific', 0.22121069)"
