topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('legislation', 0.37523347)","('improvement', 0.31912863)","('health', 0.3095011)","('regulation', 0.30585146)","('wellbeing', 0.29489824)","('implement', 0.28030613)","('policymakers', 0.2682992)","('charity', 0.2540877)","('dementia', 0.25143993)","('employment', 0.24402636)"
0,"('environment', 0.50528944)","('environmental', 0.48082456)","('sustainability', 0.47311595)","('catchment', 0.47080246)","('infrastructure', 0.45135862)","('sustainable', 0.41824085)","('ecological', 0.41270107)","('pollution', 0.41221803)","('ecosystem', 0.40458268)","('climate', 0.40004608)"
1,"('enterprise', 0.59739995)","('entrepreneurship', 0.5411773)","('entrepreneur', 0.49604195)","('entrepreneurial', 0.48453516)","('organisational', 0.47201437)","('business', 0.45524418)","('smes', 0.4509979)","('strategic', 0.44876957)","('innovation', 0.44435522)","('corporate', 0.43147433)"
2,"('tribunal', 0.45640343)","('police', 0.4409045)","('crime', 0.43184802)","('criminal', 0.4187181)","('homicide', 0.40964663)","('justice', 0.3957432)","('offender', 0.38578457)","('offence', 0.38083005)","('judicial', 0.3801551)","('legislation', 0.37903866)"
3,"('athletic', 0.5974926)","('sport', 0.58463395)","('athlete', 0.57896405)","('paralympic', 0.51195955)","('rugby', 0.48363096)","('compete', 0.47179532)","('olympic', 0.4614218)","('physical', 0.40838635)","('coach', 0.40012828)","('tennis', 0.38219756)"
4,"('educator', 0.5768071)","('teacher', 0.5613253)","('teach', 0.5358733)","('curriculum', 0.51233613)","('pedagogical', 0.5011295)","('classroom', 0.4882406)","('pedagogy', 0.4519565)","('educational', 0.433905)","('literacy', 0.4241461)","('learner', 0.40478837)"
5,"('archaeological', 0.6303979)","('archaeology', 0.6089072)","('museum', 0.597003)","('exhibition', 0.54637975)","('curatorial', 0.54340017)","('tourism', 0.441203)","('excavation', 0.40797737)","('artefact', 0.40445596)","('unesco', 0.3985319)","('preservation', 0.37467557)"
6,"('childcare', 0.54016304)","('adoption', 0.43155962)","('unicef', 0.41097063)","('poverty', 0.38776174)","('parent', 0.3753206)","('charity', 0.36295533)","('child', 0.3405884)","('childhood', 0.32796317)","('family', 0.3124175)","('safeguard', 0.3083418)"
7,"('environment', 0.46835566)","('sustainable', 0.46357936)","('renewable', 0.45668685)","('environmental', 0.44389158)","('building', 0.43057817)","('energy', 0.42730367)","('infrastructure', 0.41820496)","('emission', 0.39362234)","('carbon', 0.39262664)","('efficiency', 0.38632983)"
8,"('healthcare', 0.5310718)","('clinical', 0.4612583)","('hospital', 0.46122146)","('medical', 0.4450193)","('clinician', 0.4336785)","('patient', 0.43100995)","('clinic', 0.4264251)","('medicine', 0.4173228)","('health', 0.38263887)","('service', 0.3311854)"
9,"('planning', 0.47257537)","('mobility', 0.4646542)","('infrastructure', 0.4553377)","('transport', 0.45175824)","('planner', 0.41916972)","('urban', 0.40993375)","('road', 0.4047825)","('cycling', 0.3946374)","('travel', 0.38974535)","('city', 0.3769262)"
