topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('curriculum', 0.34086606)","('educational', 0.3196138)","('youth', 0.27226102)","('teacher', 0.2520787)","('student', 0.24589434)","('teach', 0.24437362)","('adopt', 0.2111075)","('school', 0.20347078)","('poverty', 0.19130346)","('volunteer', 0.18868232)"
0,"('finance', 0.33745664)","('macroeconomic', 0.29414707)","('banking', 0.29111934)","('investment', 0.26720098)","('investor', 0.2558287)","('risk', 0.24838994)","('equity', 0.2474556)","('bank', 0.24347761)","('debt', 0.2258912)","('lending', 0.22346796)"
1,"('catchment', 0.36407167)","('wetland', 0.34966588)","('ecological', 0.3475653)","('ecosystem', 0.33748388)","('environment', 0.33591592)","('environmental', 0.33030492)","('groundwater', 0.32787818)","('climate', 0.32336783)","('flood', 0.29936558)","('pollution', 0.2981957)"
2,"('tribunal', 0.31563586)","('police', 0.30371678)","('justice', 0.30061543)","('criminal', 0.29532552)","('homicide', 0.279991)","('judicial', 0.27924007)","('crime', 0.277408)","('judge', 0.26918542)","('offence', 0.2650565)","('officer', 0.2640947)"
3,"('athlete', 0.48850298)","('sport', 0.41083896)","('paralympic', 0.34905505)","('fitness', 0.3479439)","('olympic', 0.3358466)","('rugby', 0.31504703)","('competition', 0.29928502)","('coach', 0.29780787)","('elite', 0.27606666)","('muscle', 0.26888734)"
4,"('archaeology', 0.40807396)","('archaeological', 0.3863353)","('neolithic', 0.3569175)","('archaeologist', 0.34072867)","('excavation', 0.33449146)","('legacy', 0.33299023)","('indigenous', 0.2867832)","('curator', 0.27613816)","('landscape', 0.26380345)","('prehistoric', 0.25938806)"
5,"('childcare', 0.42896724)","('adoption', 0.37305117)","('childhood', 0.35132676)","('child', 0.335679)","('parental', 0.29940504)","('parent', 0.29892588)","('youth', 0.28363392)","('poverty', 0.2362103)","('unicef', 0.23405273)","('safeguard', 0.23239999)"
6,"('renewable', 0.40594625)","('environment', 0.30891174)","('building', 0.30218816)","('energy', 0.3009586)","('efficiency', 0.2833113)","('heating', 0.26765716)","('environmental', 0.24832883)","('carbon', 0.23756215)","('construction', 0.23234648)","('thermal', 0.21879096)"
7,"('entrepreneurship', 0.40675485)","('entrepreneur', 0.38978964)","('enterprise', 0.38211572)","('entrepreneurial', 0.37746322)","('organisational', 0.36942118)","('smes', 0.32065302)","('growth', 0.30741304)","('productivity', 0.30252883)","('innovate', 0.30191186)","('innovation', 0.29875916)"
8,"('carers', 0.37321025)","('healthcare', 0.34109104)","('dementia', 0.32753932)","('hospital', 0.31480235)","('care', 0.27882743)","('health', 0.25226307)","('ambulance', 0.2511298)","('clinical', 0.23472685)","('medical', 0.23470393)","('patient', 0.22633657)"
9,"('workforce', 0.4290583)","('employment', 0.38358468)","('workplace', 0.377779)","('worker', 0.376736)","('employ', 0.35878628)","('employer', 0.34841418)","('employee', 0.34111628)","('labour', 0.33848828)","('unemployed', 0.32808557)","('recruitment', 0.3089152)"
