topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('literature', 0.30950224)","('contemporary', 0.2968412)","('literary', 0.24605495)","('modern', 0.24394754)","('scottish', 0.21173623)","('welsh', 0.19924052)","('translation', 0.18612766)","('gothic', 0.17983408)","('reading', 0.17796567)","('century', 0.17642026)"
0,"('curatorial', 0.35790205)","('sculpture', 0.33700877)","('artistic', 0.3367207)","('artwork', 0.32294384)","('curator', 0.32079828)","('exhibition', 0.31198868)","('exhibit', 0.31192487)","('art', 0.31024602)","('artefact', 0.30349252)","('artist', 0.2897483)"
1,"('musician', 0.4440717)","('music', 0.4426958)","('musical', 0.40560514)","('instrument', 0.3781661)","('compositional', 0.36941698)","('orchestral', 0.3680753)","('orchestra', 0.36246887)","('piano', 0.36196303)","('composition', 0.36032248)","('performer', 0.3446324)"
2,"('nursing', 0.3794831)","('nurse', 0.33098656)","('healthcare', 0.32013005)","('patient', 0.315584)","('clinical', 0.31509584)","('carers', 0.30080658)","('health', 0.29720098)","('medical', 0.27718428)","('disability', 0.2668385)","('clinician', 0.26535374)"
3,"('sustainability', 0.32337236)","('craft', 0.32073405)","('sustainable', 0.30734622)","('fashion', 0.30276275)","('textile', 0.2631184)","('environment', 0.26250228)","('innovation', 0.26165354)","('industrial', 0.25579852)","('environmental', 0.24119253)","('garden', 0.24113435)"
4,"('linguistic', 0.37670135)","('multilingual', 0.37367004)","('welsh', 0.3688232)","('linguistics', 0.35979795)","('multilingualism', 0.35617185)","('language', 0.34861696)","('corpus', 0.33920822)","('literacy', 0.33086687)","('proficiency', 0.31999993)","('educational', 0.30741227)"
5,"('poet', 0.5441726)","('poetry', 0.5119792)","('poetics', 0.45515084)","('poem', 0.43015417)","('literature', 0.4031216)","('poetic', 0.36678243)","('literary', 0.36389288)","('writer', 0.35798064)","('manuscript', 0.2767272)","('scholar', 0.24208252)"
6,"('humanitarian', 0.4125144)","('palestinian', 0.37836087)","('arab', 0.37681305)","('ngo', 0.30862102)","('journalism', 0.3064111)","('genocide', 0.29597795)","('journalist', 0.29544985)","('crisis', 0.28244734)","('africa', 0.28122118)","('sudan', 0.26866573)"
7,"('medieval', 0.3897613)","('archaeology', 0.3538476)","('viking', 0.34493983)","('norse', 0.3424117)","('archaeological', 0.32538557)","('neolithic', 0.32454088)","('excavation', 0.3163408)","('scandinavian', 0.2572724)","('abbey', 0.25717837)","('reformation', 0.24489295)"
8,"('slavery', 0.49031115)","('slave', 0.434887)","('abolition', 0.4013077)","('african', 0.3469811)","('colonial', 0.3441715)","('liberian', 0.32643715)","('diaspora', 0.29130232)","('racial', 0.2782979)","('africa', 0.27468678)","('racism', 0.2689821)"
9,"('theological', 0.5235939)","('theology', 0.4993768)","('theologian', 0.4970441)","('clergy', 0.4233858)","('church', 0.39943215)","('catholic', 0.38673332)","('christianity', 0.38354468)","('christian', 0.38057953)","('religious', 0.36941844)","('congregation', 0.36608994)"
10,"('filmmaking', 0.43911988)","('cinema', 0.439108)","('film', 0.38422555)","('genre', 0.34635967)","('filmmaker', 0.3294298)","('contemporary', 0.30107984)","('cinematic', 0.29647607)","('indian', 0.29599792)","('cinematographer', 0.28807577)","('documentary', 0.2770185)"
11,"('suffragette', 0.48544037)","('feminism', 0.46977678)","('suffrage', 0.46704096)","('feminist', 0.4178809)","('activism', 0.39201707)","('woman', 0.30946463)","('gender', 0.30047113)","('gendered', 0.28967363)","('victorian', 0.27371088)","('female', 0.24231318)"
12,"('irish', 0.52759063)","('ulster', 0.507838)","('gaelic', 0.4622466)","('ireland', 0.44205865)","('dublin', 0.4372427)","('belfast', 0.36997023)","('unionist', 0.35055828)","('scottish', 0.2982837)","('loyalist', 0.2809803)","('protestant', 0.2774615)"
13,"('lgbtq', 0.4924648)","('lgbt', 0.4826796)","('sexuality', 0.4668471)","('sexology', 0.44888788)","('queer', 0.4370147)","('lgbtqia', 0.42345595)","('sexual', 0.3695433)","('homosexuality', 0.36777693)","('gender', 0.36367875)","('lesbian', 0.32855305)"
14,"('holocaust', 0.5621506)","('nuremberg', 0.4249125)","('nazi', 0.40414774)","('genocide', 0.39712042)","('jew', 0.2969486)","('postwar', 0.2958308)","('persecution', 0.29545808)","('jewish', 0.2948296)","('refugee', 0.2656303)","('historian', 0.24905357)"
15,"('theatre', 0.5137618)","('audience', 0.47042292)","('theatrical', 0.44283533)","('performer', 0.4142471)","('participation', 0.4017682)","('perform', 0.3919508)","('participatory', 0.37207416)","('venue', 0.34320635)","('spectator', 0.3034736)","('play', 0.27968517)"
16,"('soldier', 0.37668565)","('army', 0.32765234)","('wartime', 0.31312773)","('military', 0.31245673)","('trench', 0.30652893)","('wwii', 0.29741797)","('allied', 0.2971305)","('interrogation', 0.29136404)","('civilian', 0.28687906)","('warfare', 0.26636714)"
17,"('policymaking', 0.32212836)","('participation', 0.31795448)","('democracy', 0.3168742)","('democratic', 0.31360108)","('impartiality', 0.30433446)","('political', 0.3016858)","('journalism', 0.28823733)","('regulatory', 0.28588283)","('disinformation', 0.2772529)","('infrastructure', 0.27313575)"
18,"('prison', 0.495731)","('prisoner', 0.48464742)","('imprisonment', 0.4387207)","('convict', 0.4367892)","('offender', 0.32451826)","('crime', 0.29730502)","('criminal', 0.2942931)","('constabulary', 0.28886473)","('penal', 0.27816424)","('punishment', 0.25230232)"
19,"('migrant', 0.49307814)","('refugee', 0.46151745)","('diaspora', 0.45675403)","('migration', 0.41437978)","('immigration', 0.4065768)","('immigrant', 0.39258775)","('asylum', 0.3483445)","('discourse', 0.26708916)","('explores', 0.26268086)","('detention', 0.24966551)"
20,"('franco', 0.32976213)","('spanish', 0.32473573)","('spain', 0.29910827)","('latin', 0.2947396)","('mexican', 0.28907698)","('ruiz', 0.28731787)","('carrillo', 0.2684157)","('fascist', 0.26606396)","('peruvian', 0.26534888)","('regime', 0.25876907)"
