topic_id,0,1,2,3,4,5,6,7,8,9
-1,"('literature', 0.4365622)","('literary', 0.35850763)","('writer', 0.30670193)","('reader', 0.28220826)","('poetry', 0.2747501)","('contemporary', 0.22850756)","('gaelic', 0.21945289)","('fiction', 0.21224502)","('novel', 0.20809868)","('english', 0.20732452)"
0,"('educational', 0.2846123)","('curriculum', 0.2601362)","('learner', 0.22052926)","('language', 0.21038021)","('teach', 0.20395398)","('teacher', 0.18945554)","('health', 0.18806513)","('reading', 0.18164238)","('charity', 0.16994704)","('student', 0.16981064)"
1,"('curatorial', 0.3300507)","('artistic', 0.31462374)","('exhibition', 0.303877)","('contemporary', 0.29684547)","('art', 0.29631025)","('museum', 0.2959403)","('curator', 0.27521908)","('medieval', 0.26900637)","('artist', 0.24156135)","('modern', 0.22867763)"
2,"('music', 0.45299345)","('musical', 0.43609685)","('musician', 0.43354583)","('orchestra', 0.40578982)","('composition', 0.3936776)","('choir', 0.3879122)","('performer', 0.3624584)","('baroque', 0.36088926)","('composer', 0.36014575)","('repertoire', 0.34993482)"
3,"('shakespearean', 0.49273747)","('shakespeare', 0.4692286)","('theatre', 0.3855453)","('playwright', 0.353274)","('theatrical', 0.30660176)","('audience', 0.3065976)","('performer', 0.29014054)","('perform', 0.27654505)","('stage', 0.27573907)","('act', 0.22666577)"
4,"('poet', 0.5172693)","('poetry', 0.48468268)","('poem', 0.4077398)","('literature', 0.35815567)","('poetic', 0.33768135)","('writer', 0.33755398)","('literary', 0.31712878)","('dylan', 0.26256603)","('wordsworth', 0.26209858)","('anthology', 0.21949705)"
5,"('remembrance', 0.4457857)","('commemoration', 0.36924922)","('soldier', 0.35473582)","('wartime', 0.34333515)","('holocaust', 0.332891)","('nazi', 0.27138367)","('wwi', 0.27064803)","('conflict', 0.25493094)","('war', 0.25370622)","('centenary', 0.24758558)"
6,"('feminism', 0.4203493)","('feminist', 0.3854996)","('suffragette', 0.38344902)","('woman', 0.33805215)","('suffrage', 0.32947704)","('gender', 0.2883776)","('female', 0.2814397)","('activism', 0.26925266)","('activist', 0.26588568)","('parliament', 0.2223472)"
7,"('manufacturing', 0.2863704)","('procedure', 0.2804001)","('production', 0.2672)","('implant', 0.26154652)","('surgical', 0.25810432)","('innovation', 0.24690537)","('product', 0.24393082)","('manufacturer', 0.24166411)","('clinical', 0.23806721)","('surgeon', 0.23671138)"
8,"('racial', 0.36941516)","('slavery', 0.34992412)","('race', 0.322618)","('african', 0.32165328)","('black', 0.3150133)","('slave', 0.3052302)","('diverse', 0.2997827)","('colonial', 0.24471474)","('curator', 0.2447111)","('white', 0.23253605)"
9,"('irish', 0.4948035)","('ulster', 0.4698489)","('ireland', 0.38963288)","('dublin', 0.38830906)","('belfast', 0.3433955)","('unionist', 0.33589312)","('loyalist', 0.28265)","('brien', 0.26375955)","('protestant', 0.26034126)","('diaspora', 0.22979301)"
10,"('lgbtq', 0.61706567)","('lgbt', 0.6068425)","('queer', 0.54994273)","('sexuality', 0.45555046)","('lesbian', 0.41759104)","('sexology', 0.36482352)","('homophobia', 0.35098565)","('gay', 0.32692248)","('trans', 0.3231042)","('gender', 0.31660646)"
11,"('landholding', 0.32660225)","('climatejust', 0.31738585)","('coastal', 0.30424696)","('estuary', 0.29586223)","('landscape', 0.28944087)","('land', 0.2719065)","('flood', 0.26870027)","('climate', 0.25923815)","('environment', 0.2525441)","('neill', 0.24796045)"
12,"('franco', 0.35505825)","('haitian', 0.3323686)","('delgado', 0.3301804)","('haiti', 0.3001332)","('spanish', 0.29439113)","('spain', 0.2899611)","('latin', 0.28931135)","('dominican', 0.27716532)","('dictatorship', 0.26333505)","('mexican', 0.25888237)"
13,"('clinical', 0.3652503)","('patient', 0.35960627)","('medical', 0.3588931)","('healthcare', 0.32902956)","('clinician', 0.32674718)","('hospital', 0.31916136)","('illness', 0.30635965)","('medicine', 0.30284274)","('rehabilitation', 0.3019588)","('physician', 0.30135632)"
