case_id,BERT_topic_1. Summary of the impact,BERT_proba_1. Summary of the impact,BERT_topic_2. Underpinning research,BERT_proba_2. Underpinning research,BERT_topic_4. Details of the impact,BERT_proba_4. Details of the impact
1e6e075e-d5f5-421c-bb45-2708636b5190,13,0.08528645646121807,11,1.0,-1,0.018012225888003247
d59a4fa1-5e19-4394-bf46-451d905f0fa6,20,1.0,18,1.0,5,1.0
cdedee72-274f-4f42-8596-ba4c5454cd06,-1,0.09547271069484313,-1,0.011141519306206275,17,0.5871713955292521
ecf2a5ba-383e-48a1-91dc-c11219f5be9a,-1,0.11859390686350899,10,0.05091884231203613,30,0.1209476972700269
e2b00394-d011-40f7-b4b2-3356794d9cc5,19,0.27123540168375393,-1,0.08149350294868654,1,0.1706039981854051
960e8f89-2153-4f5f-b2cb-b82bb13733c6,61,0.29852147056623307,20,0.38454198698198,-1,0.0616618539873148
c4f2289e-9fd4-471b-bcdf-8b2ce16a99d0,-1,0.049961797671236756,16,0.14910537522855974,69,1.0
3fc46187-d61b-4415-aed8-57e1d0a8eba0,7,0.2508240021881249,3,1.0,1,0.3895937645826726
66e938df-d188-4182-9990-2dec54af6a00,54,0.20357028668627947,1,0.08672105744398133,33,0.10330147116278358
2aefe25b-98c5-4366-bee5-64d9f559eac5,16,1.0,9,1.0,21,0.2742713857200751
c90a1c87-9575-45fd-a37a-e736c3b739d7,11,0.19312645169959364,15,1.0,17,0.29188477559122394
c28c36bd-ad72-4aa3-865f-17432ddae321,-1,0.04148283318535663,2,0.29791595504658397,-1,0.029536770774693084
3f91fcbb-1fb1-454d-9ee3-b87de7881607,-1,0.027967935003739793,4,0.37870284810591154,-1,0.012983910021411322
adc80482-fc3c-4952-a37c-f5e9f43d7728,-1,0.051170418672456246,-1,0.0552280301563036,3,0.15913779496739722
f4dc7ac5-25f3-4c05-9dcc-5ef75994ced2,4,0.43742693536252497,2,1.0,2,0.18225762959500366
f84c8965-1e54-40fd-9b3c-7e68a9aebaec,5,0.028141894977339762,-1,0.04103435721062331,-1,0.07363279240864264
84a4ad06-92ef-4178-8b53-fd9d3ada750a,0,0.33214135104851894,0,0.42740984878554666,0,0.3737179536487461
