topic_top1,prob_top1,topic_top2,prob_top2,topic_top3,prob_top3,topic_top4,prob_top4,topic_top5,prob_top5,case_id
10,1.0,63,3.5260105642864736e-307,29,3.2940627351014332e-307,47,2.4112724460664495e-307,15,2.349825233894307e-307,1e6e075e-d5f5-421c-bb45-2708636b5190
11,1.0,57,5.789176337284714e-307,1,3.0613311946760068e-307,43,2.9140988190503706e-307,13,2.792656282995236e-307,d59a4fa1-5e19-4394-bf46-451d905f0fa6
71,0.17853604085482097,81,0.054172054132846516,85,0.053483357099665195,91,0.0517327368967822,94,0.04408490630448248,cdedee72-274f-4f42-8596-ba4c5454cd06
5,0.27924455452375113,48,0.023142920069235302,62,0.01130863105235708,0,0.010651942210196724,7,0.009667927177405165,ecf2a5ba-383e-48a1-91dc-c11219f5be9a
0,0.1338160890487788,48,0.04407363826339549,61,0.03260793861298288,5,0.028795838228169605,7,0.026821127479376327,e2b00394-d011-40f7-b4b2-3356794d9cc5
20,0.2897627351753035,52,0.01791784707878814,32,0.015358790215887484,50,0.014843489414680316,7,0.013339634905554686,960e8f89-2153-4f5f-b2cb-b82bb13733c6
42,1.0,39,7.998336617747576e-307,46,3.7433275367694545e-307,13,3.2986514636405887e-307,8,2.928023135646192e-307,c4f2289e-9fd4-471b-bcdf-8b2ce16a99d0
0,1.0,48,3.3090649573922737e-307,61,3.2657029647717418e-307,60,2.438812007638146e-307,7,2.2578849153867954e-307,3fc46187-d61b-4415-aed8-57e1d0a8eba0
73,0.24701080981240445,76,0.08981409831359793,92,0.06461294103191895,88,0.05776997002482488,91,0.04009816234319502,66e938df-d188-4182-9990-2dec54af6a00
9,0.3360159306290419,33,0.0159645622903635,36,0.015138482737328684,6,0.011189824038450787,51,0.011101997760865514,2aefe25b-98c5-4366-bee5-64d9f559eac5
16,1.0,23,5.588999589215118e-307,19,3.690961973399797e-307,26,2.3915871832198905e-307,34,2.1002955260193947e-307,c90a1c87-9575-45fd-a37a-e736c3b739d7
2,0.07225190340766245,60,0.009307901666432928,64,0.009153936245274696,53,0.009106924546703404,61,0.008707438321374288,c28c36bd-ad72-4aa3-865f-17432ddae321
78,0.1901398524151107,87,0.0845187331285905,77,0.041400174861582865,82,0.03673919882667478,83,0.032215998089201364,3f91fcbb-1fb1-454d-9ee3-b87de7881607
76,0.08589384902139638,73,0.06366280342213912,74,0.05758086382340829,91,0.04513745692247234,88,0.04309026585476735,adc80482-fc3c-4952-a37c-f5e9f43d7728
2,0.7166110104374797,53,0.009462134470234525,60,0.009297924270177251,64,0.009282022363001104,61,0.008438738848982847,f4dc7ac5-25f3-4c05-9dcc-5ef75994ced2
73,0.17716625913334452,88,0.061119108593118324,76,0.05608922706350656,91,0.050821625293055304,84,0.0427003267448709,f84c8965-1e54-40fd-9b3c-7e68a9aebaec
17,0.15144625763732353,66,0.0530107214829994,35,0.02763731441534674,37,0.026229793829145805,47,0.021674670073038808,84a4ad06-92ef-4178-8b53-fd9d3ada750a
83,1.0,72,1.3737374596207722e-307,87,1.0891232594131067e-307,78,8.584013267729773e-308,85,6.07740189669555e-308,3c54584b-5c70-4b2d-a90a-4cd28bac0e4d
84,0.11328218283646492,93,0.049854176926300994,90,0.037934682813431736,86,0.033172080813918474,88,0.02881010329342397,d292cf2d-0773-4452-8515-5b0e0752bdb4
19,0.14221753730883288,34,0.061839529205181334,56,0.04007763940984421,23,0.03632356403467637,16,0.029051174581805332,13822b1e-9ea7-426c-8d72-a8f061d7924a
62,0.014908315696717345,5,0.00947859548405811,7,0.009135676734851567,48,0.00797548625046316,14,0.007412429414652107,9d4284f3-e9e8-4d8b-9f62-df68c52fdb35
73,0.48023350127030845,91,0.056167313064604714,76,0.034452901225960036,88,0.034036424053095905,79,0.022214570467987766,a55bb562-0696-4665-8480-0ebd649f926d
2,0.13097278470954823,60,0.011597034116400983,64,0.011436727511840116,53,0.01142671505601368,61,0.010795319023134357,54b2816b-2569-40de-890b-d097f6f038c6
